data,mp10_cupe,mp10_ipojuca,ambos_validos,diferenca_ipojuca_menos_cupe
2021-02-02,11.8536363636364,28.2013043478261,TRUE,16.3476679841897
2021-02-03,12.3352479340909,24.8242105263158,TRUE,12.4889625922249
2021-02-04,20.14625,17.6925,TRUE,-2.45375
2021-02-05,17.824347826087,12.7083333333333,TRUE,-5.1160144927537
2021-02-06,10.3966666666667,15.985,TRUE,5.5883333333333
2021-02-07,14.5414285714286,15.0421739130435,TRUE,0.5007453416149
2021-02-08,18.0195,15.4421739130435,TRUE,-2.5773260869565
2021-02-09,21.259,13.7179166666667,TRUE,-7.5410833333333
2021-02-10,21.2265,13.4286956521739,TRUE,-7.7978043478261
2021-02-11,12.4495652173913,13.0368181818182,TRUE,0.5872529644269
2021-02-12,9.27352941176471,10.9277272727273,TRUE,1.65419786096259
2021-02-13,10.8,8.400625,TRUE,-2.399375
2021-02-14,8.15833333333333,7.9775,TRUE,-0.18083333333333
2021-02-15,5.2952380952381,7.3715,TRUE,2.0762619047619
2021-02-16,,,FALSE,
2021-02-17,,,FALSE,
2021-02-18,,,FALSE,
2021-02-19,,,FALSE,
2021-02-20,,,FALSE,
2021-02-21,,,FALSE,
2021-02-22,,,FALSE,
2021-02-23,,,FALSE,
2021-02-24,,,FALSE,
2021-02-25,,,FALSE,
2021-02-26,7.098,7.7752380952381,TRUE,0.6772380952381
2021-02-27,8.76695652173913,9.26608695652174,TRUE,0.499130434782609
2021-02-28,6.6652380952381,7.49625,TRUE,0.8310119047619
2021-03-01,21.3954166666667,7.865,TRUE,-13.5304166666667
2021-03-02,24.4327272727273,10.0754166666667,TRUE,-14.3573106060606
2021-03-03,27.2152941176471,12.35875,TRUE,-14.8565441176471
2021-03-04,24.5291666666667,8.40764705882353,TRUE,-16.1215196078432
2021-03-05,32.67125,9.89833333333333,TRUE,-22.7729166666667
2021-03-06,30.1041666666667,13.1758333333333,TRUE,-16.9283333333334
2021-03-07,31.9483333333333,13.0808333333333,TRUE,-18.8675
2021-03-08,28.6127272727273,13.0391666666667,TRUE,-15.5735606060606
2021-03-09,22.6058333333333,13.05375,TRUE,-9.5520833333333
2021-03-10,,15.4045833333333,FALSE,
2021-03-11,,17.9229166666667,FALSE,
2021-03-12,9.46625,14.9108695652174,TRUE,5.4446195652174
2021-03-13,13.4904166666667,11.3139130434783,TRUE,-2.1765036231884
2021-03-14,12.085,9.52809523809524,TRUE,-2.55690476190476
2021-03-15,12.4020833333333,16.8991666666667,TRUE,4.4970833333334
2021-03-16,11.4341666666667,11.1447058823529,TRUE,-0.2894607843138
2021-03-17,10.0645833333333,10.1283333333333,TRUE,0.0637500000000006
2021-03-18,9.25416666666667,8.50583333333333,TRUE,-0.74833333333334
2021-03-19,11.3095652173913,12.9329166666667,TRUE,1.6233514492754
2021-03-20,9.56173913043478,11.6673913043478,TRUE,2.10565217391302
2021-03-21,8.32695652173913,10.7791304347826,TRUE,2.45217391304347
2021-03-22,11.1725,9.42954545454545,TRUE,-1.74295454545455
2021-03-23,7.17416666666667,7.11782608695652,TRUE,-0.0563405797101497
2021-03-24,8.01954545454545,9.12421052631579,TRUE,1.10466507177034
2021-03-25,9.90217391304348,9.81583333333333,TRUE,-0.08634057971015
2021-03-26,8.34454545454545,8.29304347826087,TRUE,-0.0515019762845803
2021-03-27,5.5975,7.11875,TRUE,1.52125
2021-03-28,8.24652173913043,5.43608695652174,TRUE,-2.81043478260869
2021-03-29,8.86,8.96863636363636,TRUE,0.108636363636361
2021-03-30,9.66260869565217,8.50565217391304,TRUE,-1.15695652173913
2021-03-31,19.3608333333333,18.1925,TRUE,-1.1683333333333
2021-04-01,25.02,29.6629166666667,TRUE,4.6429166666667
2021-04-02,13.9579166666667,11.7958333333333,TRUE,-2.1620833333334
2021-04-03,16.5675,14.3025,TRUE,-2.265
2021-04-04,10.4070833333333,9.40083333333333,TRUE,-1.00624999999997
2021-04-05,12.5691666666667,10.0529166666667,TRUE,-2.51625
2021-04-06,10.5269565217391,11.61,TRUE,1.0830434782609
2021-04-07,10.5252173913043,9.79652173913044,TRUE,-0.72869565217386
2021-04-08,14.6366666666667,14.5542105263158,TRUE,-0.0824561403509012
2021-04-09,16.7908333333333,,FALSE,
2021-04-10,6.30590909090909,6.46045454545455,TRUE,0.154545454545461
2021-04-11,5.34086956521739,,FALSE,
2021-04-12,9.02565217391304,,FALSE,
2021-04-13,10.33625,,FALSE,
2021-04-14,8.17,,FALSE,
2021-04-15,8.10909090909091,,FALSE,
2021-04-16,12.3929166666667,,FALSE,
2021-04-17,10.8326086956522,,FALSE,
2021-04-18,6.69652173913043,,FALSE,
2021-04-19,12.1633333333333,,FALSE,
2021-04-20,14.5683333333333,,FALSE,
2021-04-21,9.36875,,FALSE,
2021-04-22,13.2104166666667,,FALSE,
2021-04-23,12.9052173913043,,FALSE,
2021-04-24,15.9459090909091,,FALSE,
2021-04-25,12.865652173913,,FALSE,
2021-04-26,11.9613636363636,,FALSE,
2021-04-27,12.9433333333333,,FALSE,
2021-04-28,7.1655,9.19055555555556,TRUE,2.02505555555556
2021-04-29,13.7769565217391,10.8840909090909,TRUE,-2.8928656126482
2021-04-30,13.6254545454545,7.75166666666667,TRUE,-5.87378787878783
2021-05-01,12.3763636363636,11.4845833333333,TRUE,-0.8917803030303
2021-05-02,9.80736842105263,,FALSE,
2021-05-03,20.3,7.8275,TRUE,-12.4725
2021-05-04,7.23909090909091,9.15375,TRUE,1.91465909090909
2021-05-05,6.18590909090909,6.865,TRUE,0.679090909090911
2021-05-06,12.775,8.35583333333333,TRUE,-4.41916666666667
2021-05-07,9.3504347826087,10.985,TRUE,1.6345652173913
2021-05-08,10.5540909090909,7.0004347826087,TRUE,-3.5536561264822
