ano,cod_estacao,no_estacao,mes,mes_nome,n_dias_calendario,n_dias_validos,pct_dias_validos,media_mensal_descritiva,mediana_mensal,desvio_padrao_mensal,cv_mensal_pct,p25,p75,p95,referencia_anual,diferenca_mensal_vs_ref,diferenca_mensal_vs_ref_pct,minimo_dias_mma,mes_representativo_mma
2021,13,CUPE,5,Mai,31,31,100,10.7083108283906,10.3089473684211,3.21947472295224,30.0651967854401,9.00608695652174,12.3834090909091,15.2593064182195,13.2158351775256,-2.50752434913498,-18.9736351539794,21,TRUE
2021,13,CUPE,6,Jun,30,28,93.3333333333333,10.2966683560256,9.45464673913044,3.33465021380021,32.3857202980494,7.66879076086957,13.2759375,15.6777310606061,13.2158351775256,-2.91916682150002,-22.0884021500529,20,TRUE
2021,13,CUPE,7,Jul,31,28,90.3225806451613,12.1298910926031,11.8946286231884,2.50043089953744,20.6137951317818,10.4766304347826,13.7819972826087,16.3203693181818,13.2158351775256,-1.08594408492255,-8.21699174010029,21,TRUE
2021,13,CUPE,8,Ago,31,31,100,11.2342144906286,11.21375,2.5971671755847,23.1183691369896,9.56041666666667,13.18,15.66,13.2158351775256,-1.98162068689702,-14.9942902607237,21,TRUE
2021,13,CUPE,9,Set,30,30,100,16.3358528904607,14.78575,7.83379617424993,47.9546199808427,11.48375,17.9390380434783,27.3196114130435,13.2158351775256,3.12001771293507,23.6081766382867,20,TRUE
2021,13,CUPE,10,Out,31,31,100,14.3379352855075,13.3379166666667,4.41466431195427,30.7900979049369,11.2623484848485,15.4422916666667,22.8922101449275,13.2158351775256,1.12210010798193,8.49057280836958,21,TRUE
2021,13,CUPE,11,Nov,30,30,100,13.523316607147,12.5659692028986,3.7555891594198,27.7712137378711,10.8412454710145,15.1188988095238,19.8520535714286,13.2158351775256,0.307481429621383,2.32661368344148,20,TRUE
2021,13,CUPE,12,Dez,31,31,100,16.549525854912,15.3717391304348,4.42326891836197,26.7274661349232,13.6770256916996,18.9907644110276,24.0119345238095,13.2158351775256,3.33369067738643,25.2249716541229,21,TRUE
2021,12,IPOJUCA,1,Jan,31,28,90.3225806451613,22.2066510261288,19.4825,5.78374528516453,26.0451036869957,18.5633463541562,27.3279166666667,31.5673541666667,15.3629089992053,6.84374202692348,44.5471754553613,21,TRUE
2021,12,IPOJUCA,2,Fev,28,18,64.2857142857143,14.3544676386151,13.2327569169961,6.82717703287349,47.5613391227943,8.61699048913044,15.8492934782609,28.3340632411067,15.3629089992053,-1.0084413605902,-6.564130274041,19,FALSE
2021,12,IPOJUCA,3,Mar,31,31,100,11.0998280720617,10.1283333333333,3.19583728522731,28.7917728498086,8.73723484848485,13.0464583333334,17.4110416666667,15.3629089992053,-4.26308092714355,-27.7491777590043,21,TRUE
2021,12,IPOJUCA,4,Abr,30,12,40,12.1218749951845,10.4685037878788,6.00828907082523,49.5656742311901,9.34826388888889,12.4225,21.3531282894737,15.3629089992053,-3.2410340040208,-21.0964863763006,20,FALSE
2021,12,IPOJUCA,5,Mai,31,30,96.7741935483871,8.97911795752557,7.78875,3.02205773572367,33.6565100271439,6.99056324110672,10.6357291666667,15.3287916666667,15.3629089992053,-6.38379104167973,-41.5532699048725,21,TRUE
2021,12,IPOJUCA,6,Jun,30,29,96.6666666666667,9.68422042306769,9.085,3.01259279745441,31.1082634001024,7.940875,10.5495652173913,15.4469166666667,15.3629089992053,-5.67868857613761,-36.9636282844047,20,TRUE
2021,12,IPOJUCA,7,Jul,31,28,90.3225806451613,13.4086038608131,13.1175,3.50060665213499,26.1071673715828,10.9635132575758,15.3341477272728,20.1136666666666,15.3629089992053,-1.9543051383922,-12.720931553349,21,TRUE
2021,12,IPOJUCA,8,Ago,31,31,100,11.6489140920163,11.4120833333333,4.59441124461011,39.4406826964148,8.21450757575758,14.4525,19.4645018115942,15.3629089992053,-3.71399490718896,-24.1750758751554,21,TRUE
2021,12,IPOJUCA,9,Set,30,30,100,17.0658879843989,17.8735416666667,4.20443275532251,24.6364722372846,14.4570170454545,19.2357291666667,24.180125,15.3629089992053,1.70297898519355,11.0850034019055,20,TRUE
2021,12,IPOJUCA,10,Out,31,31,100,19.0791325066939,18.75375,4.17390027159757,21.8767822390938,15.7033333333334,22.655,25.2183333333334,15.3629089992053,3.71622350748857,24.1895822443575,21,TRUE
2021,12,IPOJUCA,11,Nov,30,30,100,19.241641837631,18.686590909091,4.46761851846121,23.2184891297782,15.7786458333334,20.914669384058,28.9114655797102,15.3629089992053,3.87873283842566,25.2473853657944,20,TRUE
2021,12,IPOJUCA,12,Dez,31,31,100,23.1361634199134,22.1508695652174,6.08020459903372,26.2800901285148,19.168530020704,26.5704166666667,33.4357707509881,15.3629089992053,7.77325442070812,50.5975425689902,21,TRUE
2022,16,SUAPE,1,Jan,31,23,74.1935483870968,24.4223846962741,21.2608695652174,14.9203861931416,61.0930766126941,19.2559523809524,23.175,38.5409937888199,20.4288476896859,3.99353700658822,19.5485181898168,21,TRUE
2022,16,SUAPE,2,Fev,28,23,82.1428571428571,25.4509799589195,24.0416666666667,8.49195617978597,33.3659300879293,19.0750988142293,31.0552536231884,41.0148809523809,20.4288476896859,5.02213226923357,24.5835318052185,19,TRUE
2022,16,SUAPE,3,Mar,31,30,96.7741935483871,20.0662161390456,18.875,4.491752695832,22.3846522169757,17.7006578947368,21.21875,27.46875,20.4288476896859,-0.362631550640312,-1.77509547356113,21,TRUE
2022,16,SUAPE,4,Abr,30,29,96.6666666666667,20.1005545164774,20.0833333333333,4.79202200416824,23.840247791373,17.25,22.0869565217391,27.5786096256685,20.4288476896859,-0.328293173208454,-1.60700778719988,20,TRUE
2022,16,SUAPE,5,Mai,31,29,93.5483870967742,16.3817117415318,15.5,4.9637872753865,30.3007851298105,12.875,20.3,24.1391304347826,20.4288476896859,-4.04713594815407,-19.8108870829625,21,TRUE
2022,16,SUAPE,6,Jun,30,30,100,16.3377318336206,15.419384057971,3.95675416458869,24.2185035529001,13.125,18.2839673913044,22.6473484848485,20.4288476896859,-4.09111585606532,-20.0261704341299,20,TRUE
2022,16,SUAPE,7,Jul,31,31,100,18.1574912114533,17.4782608695652,4.18315343027678,23.0381685529229,15.7291666666667,19.4209486166008,25.875,20.4288476896859,-2.27135647823256,-11.1183778582838,21,TRUE
2022,16,SUAPE,8,Ago,31,29,93.5483870967742,19.2363814205338,17.9583333333333,5.74875371078563,29.8847978999271,14.4210526315789,23.3913043478261,28.0349206349206,20.4288476896859,-1.19246626915215,-5.83716853376023,21,TRUE
2022,16,SUAPE,9,Set,30,30,100,21.8067096337876,22.1865942028986,4.25675914253761,19.5204100665518,18.4406702898551,24.6635375494071,28.6246323529412,20.4288476896859,1.37786194410174,6.74468753711153,20,TRUE
