fonte_dados,cod_estacao,datahora_local,nome_estacao,n_registros,n_valores_distintos,valores_mm,arquivos
CEMADEN,260005402A,2025-10-02T23:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T00:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T01:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T01:40:00Z,ABREU E LIMA - APAC,2,1,0.79,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T01:50:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T02:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T03:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T04:00:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T05:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T05:20:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T05:30:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T05:40:00Z,ABREU E LIMA - APAC,2,1,3.55,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T05:50:00Z,ABREU E LIMA - APAC,2,1,0.79,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T07:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T08:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T08:50:00Z,ABREU E LIMA - APAC,2,1,0.42,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T09:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T10:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T11:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T12:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T13:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T14:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T15:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T16:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T17:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T18:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T19:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T20:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T21:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T22:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-03T23:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T00:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T01:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T02:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T03:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T04:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T05:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T06:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T07:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T08:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T09:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T10:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T11:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T12:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T12:40:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T13:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T14:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T15:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T16:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T17:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T18:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T19:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T20:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T21:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T22:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-04T23:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T00:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T01:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T02:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T03:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T04:00:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T05:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T06:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T07:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T08:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T08:30:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T09:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T09:10:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T10:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T11:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T12:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T13:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T14:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T14:50:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T15:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T16:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T16:40:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T16:50:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T17:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T18:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T19:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T20:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T21:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T22:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-05T23:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T00:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T01:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T02:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T03:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T04:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T05:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T06:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T07:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
