fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes
CEMADEN,260130002A,BARRA DE GUABIRABA - APAC,BARRA DE GUABIRABA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.424057,-8.424057,-35.655684,-35.655684,6767,2019-05-11T01:10:00Z,2023-07-27T18:30:00Z,2019;2020;2023,0,0,0,0
CEMADEN,260130016H,Centro,BARRA DE GUABIRABA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.419216,-8.419216,-35.662985,-35.662985,29998,2023-05-09T19:10:00Z,2025-12-31T23:10:00Z,2023;2024;2025,0,0,1656,0
CEMADEN,260140901A,Barreiros,BARREIROS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.813,-8.813,-35.199,-35.199,88460,2017-01-01T03:00:00Z,2025-10-02T06:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,64,0
CEMADEN,260140901H,Barreiros | Rio Caruma,BARREIROS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.8254,-8.8254,-35.2293,-35.2293,20198,2017-02-04T13:30:00Z,2021-10-25T00:30:00Z,2017;2020;2021,0,0,2,0
CEMADEN,260140902A,Hospital Municipal | Rod. Armínio Cuil Hi Rme,BARREIROS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.807,-8.807,-35.186,-35.186,89191,2017-01-01T03:00:00Z,2025-12-15T11:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1638,0
CEMADEN,260140903A,BARREIROS - APAC,BARREIROS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.806444,-8.806444,-35.186139,-35.186139,21749,2017-11-18T04:40:00Z,2022-01-19T20:20:00Z,2017;2018;2019;2021;2022,0,0,0,0
CEMADEN,260140917H,Zona Rural,BARREIROS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.825208,-8.825208,-35.229227,-35.229227,30240,2023-05-10T16:10:00Z,2025-12-31T23:10:00Z,2023;2024;2025,0,0,1690,0
CEMADEN,260150802A,Batateiras,BELÉM DE MARIA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.62059,-8.558,-35.8412,-35.829,90046,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1644,0
CEMADEN,260170601A,15º BPM - Belo Jardim - APAC | Belo Jardim [15 BPM] - APAC,BELO JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.34427,-8.34427,-36.41994,-36.41994,17002,2023-08-09T12:20:00Z,2025-12-06T20:10:00Z,2023;2024;2025,0,0,74,0
CEMADEN,260170601C,BELO JARDIM,BELO JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.34075,-8.34075,-36.451888,-36.451888,27326,2018-02-09T16:00:00Z,2025-06-10T06:10:00Z,2018;2019;2020;2022;2023;2024;2025,0,0,0,0
