fonte_dados,cod_estacao,nome_estacao,ano,n_registros,n_registros_com_valor,n_registros_sem_valor,n_datas_com_registro,n_meses_com_registro,inicio,fim,precipitacao_min,precipitacao_max
CEMADEN,260050001A,Garanhuns,2025,10051,10051,0,365,12,2025-01-01T03:30:00Z,2025-12-31T22:40:00Z,0,6.91
CEMADEN,260050002A,Centro,2017,12243,12243,0,362,12,2017-01-01T03:00:00Z,2018-01-01T02:30:00Z,0,16.86
CEMADEN,260050002A,Centro,2018,9285,9285,0,365,12,2018-01-01T03:30:00Z,2019-01-01T02:30:00Z,0,18.52
CEMADEN,260050002A,Centro,2019,8356,8356,0,337,12,2019-01-01T03:30:00Z,2019-12-30T20:30:00Z,0,14.49
CEMADEN,260050002A,Centro,2020,8381,8381,0,347,12,2020-01-01T10:10:00Z,2020-12-28T16:30:00Z,0,20.62
CEMADEN,260050002A,Centro,2021,7033,7033,0,326,12,2021-01-04T16:00:00Z,2021-12-30T20:30:00Z,0,6.89
CEMADEN,260050002A,Centro,2022,7133,7133,0,257,10,2022-01-02T11:10:00Z,2023-01-01T02:30:00Z,0,13.01
CEMADEN,260050002A,Centro,2023,9622,9622,0,365,12,2023-01-01T03:30:00Z,2024-01-01T02:30:00Z,0,17.72
CEMADEN,260050002A,Centro,2024,9757,9757,0,366,12,2024-01-01T03:30:00Z,2025-01-01T02:30:00Z,0,12.6
CEMADEN,260050002A,Centro,2025,10172,10172,0,336,12,2025-01-01T03:30:00Z,2025-12-03T00:30:00Z,0,7.3
CEMADEN,260060901A,Alagoinha [Garagem Municipal] - APAC,2024,6743,6743,0,275,11,2024-02-15T14:30:00Z,2024-12-31T09:50:00Z,0,14.48
CEMADEN,260060901A,Alagoinha [Garagem Municipal] - APAC,2025,8470,8470,0,346,12,2025-01-10T23:40:00Z,2025-12-31T23:40:00Z,0,18.72
CEMADEN,260060901U,ALAGOINHA,2017,360,360,0,20,4,2017-08-02T01:10:00Z,2018-01-01T02:00:00Z,0,0.2
CEMADEN,260060901U,ALAGOINHA,2018,5389,5389,0,224,9,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,0,16.6
CEMADEN,260060901U,ALAGOINHA,2019,3721,3721,0,149,5,2019-01-01T03:00:00Z,2019-06-01T02:00:00Z,0,11.6
CEMADEN,260060901U,ALAGOINHA,2022,778,778,0,30,2,2022-04-25T19:00:00Z,2022-05-24T14:30:00Z,0,5.6
CEMADEN,260070801A,ALIANCA - APAC,2017,933,933,0,43,2,2017-11-18T09:30:00Z,2018-01-01T02:20:00Z,0,5.55
CEMADEN,260070801A,ALIANCA - APAC,2018,9338,9338,0,365,12,2018-01-01T03:20:00Z,2019-01-01T02:20:00Z,0,15.57
CEMADEN,260070801A,ALIANCA - APAC,2019,8984,8984,0,353,12,2019-01-01T03:20:00Z,2020-01-01T02:20:00Z,0,18.93
CEMADEN,260070801A,ALIANCA - APAC,2020,8354,8354,0,338,12,2020-01-01T03:20:00Z,2020-12-04T00:20:00Z,0,11.8
