fonte_dados,cod_estacao,estacao_historica,ano_alvo,estacao_mp10,municipio_mp10,distancia_km,nota,n_dias_mp10_validos,n_dias_precip_com_valor,n_overlap_primario,n_overlap_sens_1,n_overlap_sens_2,n_overlap_convencional,tipo_regra,criterio_primario,elegivel_pareamento_primario,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,pct_overlap_convencional,nome_estacao,municipios,tipo_estacao,periodicidade_fonte,faixa_operacional
CEMADEN,260290202A,IPOJUCA,2021,IPOJUCA,Ipojuca,16.9717066153013,Referencia anual elegivel IPOJUCA 2021,329,230,164,170,175,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,69.9088145896657,49.8480243161094,51.6717325227964,53.1914893617021,0,Charneca,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290203A,IPOJUCA,2021,IPOJUCA,Ipojuca,17.5366564871593,Referencia anual elegivel IPOJUCA 2021,329,329,299,312,315,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,90.8814589665653,94.8328267477204,95.7446808510638,0,Torrinha,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290201G,IPOJUCA,2021,IPOJUCA,Ipojuca,18.807621519499,Referencia anual elegivel IPOJUCA 2021,329,183,90,141,143,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,55.6231003039514,27.355623100304,42.8571428571429,43.4650455927052,0,Pirapama,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,261420402A,IPOJUCA,2021,IPOJUCA,Ipojuca,19.828256502838,Referencia anual elegivel IPOJUCA 2021,329,177,142,152,159,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,53.7993920972644,43.161094224924,46.2006079027356,48.3282674772037,0,SIRINHAEM - APAC,SIRINHAÉM,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,261420401A,IPOJUCA,2021,IPOJUCA,Ipojuca,19.951784019321,Referencia anual elegivel IPOJUCA 2021,329,326,253,274,281,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,99.0881458966565,76.8996960486322,83.2826747720365,85.4103343465046,0,Centro,SIRINHAÉM,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260720801G,IPOJUCA,2025,IPOJUCA,Ipojuca,6.92640747959743,Referencia anual elegivel IPOJUCA 2025,312,312,230,308,309,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,73.7179487179487,98.7179487179487,99.0384615384615,0,Campo do Avião,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>5-10 km
CEMADEN,260720804A,IPOJUCA,2025,IPOJUCA,Ipojuca,7.14376732272583,Referencia anual elegivel IPOJUCA 2025,312,312,287,298,304,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,91.9871794871795,95.5128205128205,97.4358974358974,0,Rurópolis,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>5-10 km
CEMADEN,260720801A,IPOJUCA,2025,IPOJUCA,Ipojuca,7.32836097674827,Referencia anual elegivel IPOJUCA 2025,312,308,283,291,299,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,98.7179487179487,90.7051282051282,93.2692307692308,95.8333333333333,0,Centro,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>5-10 km
CEMADEN,260290204A,IPOJUCA,2025,IPOJUCA,Ipojuca,14.1521806232538,Referencia anual elegivel IPOJUCA 2025,312,134,113,127,130,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,42.9487179487179,36.2179487179487,40.7051282051282,41.6666666666667,0,Enseado dos Corais,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260720805A,IPOJUCA,2025,IPOJUCA,Ipojuca,15.7473789123554,Referencia anual elegivel IPOJUCA 2025,312,299,233,237,239,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,95.8333333333333,74.6794871794872,75.9615384615385,76.6025641025641,0,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290202A,IPOJUCA,2025,IPOJUCA,Ipojuca,16.9717066153013,Referencia anual elegivel IPOJUCA 2025,312,312,275,295,300,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,88.1410256410256,94.5512820512821,96.1538461538462,0,Charneca,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290203A,IPOJUCA,2025,IPOJUCA,Ipojuca,17.5366564871593,Referencia anual elegivel IPOJUCA 2025,312,312,264,296,303,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,84.6153846153846,94.8717948717949,97.1153846153846,0,Torrinha,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290201G,IPOJUCA,2025,IPOJUCA,Ipojuca,18.807621519499,Referencia anual elegivel IPOJUCA 2025,312,204,0,1,2,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,65.3846153846154,0,0.320512820512821,0.641025641025641,0,Pirapama,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,261420401A,IPOJUCA,2025,IPOJUCA,Ipojuca,19.951784019321,Referencia anual elegivel IPOJUCA 2025,312,290,74,78,80,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,92.9487179487179,23.7179487179487,25,25.6410256410256,0,Centro,SIRINHAÉM,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
