fonte_dados,cod_estacao,nome_estacao,municipios,tipo_regra,tipo_estacao,ano,criterio_primario,elegivel_pareamento_primario,n_dias_calendario,n_dias_com_valor,n_dias_cobertura_primaria,n_dias_sens_1,n_dias_sens_2,prop_cobertura_primaria,prop_sens_1,prop_sens_2,n_dias_disponibilidade_convencional,maior_lacuna_dias_sem_cobertura_primaria,p95_maior_gap_dia_min
CEMADEN,260030201A,AGRESTINA - APAC,AGRESTINA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2021,CEMADEN_MAX_GAP_60MIN,TRUE,365,151,118,127,130,0.323287671232877,0.347945205479452,0.356164383561644,0,215,125
CEMADEN,260030201A,AGRESTINA - APAC,AGRESTINA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,289,324,334,0.791780821917808,0.887671232876712,0.915068493150685,0,4,120
CEMADEN,260030201A,AGRESTINA - APAC,AGRESTINA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2023,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,318,341,346,0.871232876712329,0.934246575342466,0.947945205479452,0,4,104
CEMADEN,260030201A,AGRESTINA - APAC,AGRESTINA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2024,CEMADEN_MAX_GAP_60MIN,TRUE,366,336,263,272,280,0.718579234972678,0.743169398907104,0.765027322404372,0,31,2040
CEMADEN,260030201A,AGRESTINA - APAC,AGRESTINA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2025,CEMADEN_MAX_GAP_60MIN,TRUE,365,303,217,231,235,0.594520547945206,0.632876712328767,0.643835616438356,0,112,6097
CEMADEN,260040101A,Bairro D´Ouro,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2017,CEMADEN_MAX_GAP_60MIN,TRUE,365,362,332,334,338,0.90958904109589,0.915068493150685,0.926027397260274,0,6,120
CEMADEN,260040101A,Bairro D´Ouro,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,355,301,315,324,0.824657534246575,0.863013698630137,0.887671232876712,0,22,183
CEMADEN,260040101A,Bairro D´Ouro,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,206,98,101,114,0.268493150684932,0.276712328767123,0.312328767123288,0,182,7210
CEMADEN,260040101A,Bairro D´Ouro,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2020,CEMADEN_MAX_GAP_60MIN,TRUE,366,259,77,99,132,0.210382513661202,0.270491803278689,0.360655737704918,0,141,2431
CEMADEN,260040101A,Bairro D´Ouro,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2021,CEMADEN_MAX_GAP_60MIN,TRUE,365,362,307,315,325,0.841095890410959,0.863013698630137,0.89041095890411,0,9,120
CEMADEN,260040101A,Bairro D´Ouro,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,362,259,268,281,0.70958904109589,0.734246575342466,0.76986301369863,0,26,758
CEMADEN,260040101A,Bairro D´Ouro,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2023,CEMADEN_MAX_GAP_60MIN,TRUE,365,356,245,247,258,0.671232876712329,0.676712328767123,0.706849315068493,0,36,1260
CEMADEN,260040101A,Bairro D´Ouro,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2024,CEMADEN_MAX_GAP_60MIN,TRUE,366,366,320,327,337,0.87431693989071,0.89344262295082,0.920765027322404,0,3,137.5
CEMADEN,260040101A,Bairro D´Ouro,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2025,CEMADEN_MAX_GAP_60MIN,TRUE,365,362,149,155,157,0.408219178082192,0.424657534246575,0.43013698630137,0,190,1240
CEMADEN,260040102A,AGUA PRETA - APAC,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2017,CEMADEN_MAX_GAP_60MIN,TRUE,365,42,12,12,13,0.0328767123287671,0.0328767123287671,0.0356164383561644,0,326,180
CEMADEN,260040102A,AGUA PRETA - APAC,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,308,317,329,0.843835616438356,0.868493150684932,0.901369863013699,0,7,120
CEMADEN,260040102A,AGUA PRETA - APAC,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,212,58,63,69,0.158904109589041,0.172602739726027,0.189041095890411,0,130,12078.5
CEMADEN,260040102A,AGUA PRETA - APAC,ÁGUA PRETA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,1,0,0,0,0,0,0,0,365,
CEMADEN,260050001A,Garanhuns,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2017,CEMADEN_MAX_GAP_60MIN,TRUE,365,207,116,122,129,0.317808219178082,0.334246575342466,0.353424657534247,0,61,14000
CEMADEN,260050001A,Garanhuns,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,361,139,199,231,0.380821917808219,0.545205479452055,0.632876712328767,0,35,620
CEMADEN,260050001A,Garanhuns,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,328,127,140,159,0.347945205479452,0.383561643835616,0.435616438356164,0,40,2653
CEMADEN,260050001A,Garanhuns,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2021,CEMADEN_MAX_GAP_60MIN,TRUE,365,297,238,258,262,0.652054794520548,0.706849315068493,0.717808219178082,0,69,120
CEMADEN,260050001A,Garanhuns,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,206,148,152,156,0.405479452054795,0.416438356164384,0.427397260273973,0,191,1960
CEMADEN,260050001A,Garanhuns,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2023,CEMADEN_MAX_GAP_60MIN,TRUE,365,44,6,8,16,0.0164383561643836,0.0219178082191781,0.0438356164383562,0,330,96017.0000000002
CEMADEN,260050001A,Garanhuns,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2024,CEMADEN_MAX_GAP_60MIN,TRUE,366,362,42,117,187,0.114754098360656,0.319672131147541,0.510928961748634,0,33,479.5
CEMADEN,260050001A,Garanhuns,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2025,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,43,95,188,0.117808219178082,0.26027397260274,0.515068493150685,0,99,398.5
CEMADEN,260050002A,Centro,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2017,CEMADEN_MAX_GAP_60MIN,TRUE,365,362,344,345,348,0.942465753424658,0.945205479452055,0.953424657534246,0,4,60
CEMADEN,260050002A,Centro,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,338,345,350,0.926027397260274,0.945205479452055,0.958904109589041,0,2,80
CEMADEN,260050002A,Centro,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,337,279,287,291,0.764383561643836,0.786301369863014,0.797260273972603,0,20,1420
CEMADEN,260050002A,Centro,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2020,CEMADEN_MAX_GAP_60MIN,TRUE,366,347,187,220,246,0.510928961748634,0.601092896174863,0.672131147540984,0,53,1090
CEMADEN,260050002A,Centro,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2021,CEMADEN_MAX_GAP_60MIN,TRUE,365,326,244,246,247,0.668493150684932,0.673972602739726,0.676712328767123,0,69,1290
CEMADEN,260050002A,Centro,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,257,166,175,190,0.454794520547945,0.479452054794521,0.520547945205479,0,116,514
CEMADEN,260050002A,Centro,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2023,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,344,350,352,0.942465753424658,0.958904109589041,0.964383561643836,0,2,70
CEMADEN,260050002A,Centro,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2024,CEMADEN_MAX_GAP_60MIN,TRUE,366,366,343,350,357,0.937158469945355,0.956284153005464,0.975409836065574,0,2,70
CEMADEN,260050002A,Centro,ÁGUAS BELAS,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2025,CEMADEN_MAX_GAP_60MIN,TRUE,365,336,310,319,323,0.849315068493151,0.873972602739726,0.884931506849315,0,31,70
CEMADEN,260060901A,Alagoinha [Garagem Municipal] - APAC,ALAGOINHA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2024,CEMADEN_MAX_GAP_60MIN,TRUE,366,275,198,211,221,0.540983606557377,0.576502732240437,0.603825136612022,0,50,753.499999999993
CEMADEN,260060901A,Alagoinha [Garagem Municipal] - APAC,ALAGOINHA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2025,CEMADEN_MAX_GAP_60MIN,TRUE,365,346,211,221,235,0.578082191780822,0.605479452054795,0.643835616438356,0,26,1310
CEMADEN,260060901U,ALAGOINHA,ALAGOINHA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2017,CEMADEN_MAX_GAP_60MIN,TRUE,365,20,11,11,11,0.0301369863013699,0.0301369863013699,0.0301369863013699,0,275,82660
CEMADEN,260060901U,ALAGOINHA,ALAGOINHA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,224,213,215,215,0.583561643835617,0.589041095890411,0.589041095890411,0,133,60
CEMADEN,260060901U,ALAGOINHA,ALAGOINHA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,149,141,141,141,0.386301369863014,0.386301369863014,0.386301369863014,0,215,275.999999999998
CEMADEN,260060901U,ALAGOINHA,ALAGOINHA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,30,28,28,28,0.0767123287671233,0.0767123287671233,0.0767123287671233,0,222,60
CEMADEN,260070801A,ALIANCA - APAC,ALIANÇA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2017,CEMADEN_MAX_GAP_60MIN,TRUE,365,43,12,13,15,0.0328767123287671,0.0356164383561644,0.0410958904109589,0,331,780
CEMADEN,260070801A,ALIANCA - APAC,ALIANÇA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,219,240,249,0.6,0.657534246575342,0.682191780821918,0,38,476
CEMADEN,260070801A,ALIANCA - APAC,ALIANÇA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,353,200,212,219,0.547945205479452,0.580821917808219,0.6,0,27,870
CEMADEN,260070801A,ALIANCA - APAC,ALIANÇA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2020,CEMADEN_MAX_GAP_60MIN,TRUE,366,338,126,144,159,0.344262295081967,0.39344262295082,0.434426229508197,0,37,630
CEMADEN,260070801A,ALIANCA - APAC,ALIANÇA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2021,CEMADEN_MAX_GAP_60MIN,TRUE,365,101,65,76,79,0.178082191780822,0.208219178082192,0.216438356164384,0,168,12700
CEMADEN,260070801A,ALIANCA - APAC,ALIANÇA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,236,87,94,95,0.238356164383562,0.257534246575342,0.26027397260274,0,203,1070
CEMADEN,260070801A,ALIANCA - APAC,ALIANÇA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2023,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,274,291,298,0.750684931506849,0.797260273972603,0.816438356164383,0,7,400
CEMADEN,260070801A,ALIANCA - APAC,ALIANÇA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2024,CEMADEN_MAX_GAP_60MIN,TRUE,366,355,266,278,282,0.726775956284153,0.759562841530055,0.770491803278689,0,27,1370
CEMADEN,260070801A,ALIANCA - APAC,ALIANÇA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2025,CEMADEN_MAX_GAP_60MIN,TRUE,365,268,249,257,262,0.682191780821918,0.704109589041096,0.717808219178082,0,98,70
CEMADEN,260080701A,Prefeitura,ALTINHO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2017,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,347,347,347,0.950684931506849,0.950684931506849,0.950684931506849,0,2,60
CEMADEN,260080701A,Prefeitura,ALTINHO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,329,336,344,0.901369863013699,0.920547945205479,0.942465753424658,0,4,108
CEMADEN,260080701A,Prefeitura,ALTINHO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,361,270,286,294,0.73972602739726,0.783561643835617,0.805479452054795,0,16,590
CEMADEN,260080701A,Prefeitura,ALTINHO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2020,CEMADEN_MAX_GAP_60MIN,TRUE,366,366,277,293,308,0.756830601092896,0.800546448087432,0.841530054644809,0,23,190
CEMADEN,260080701A,Prefeitura,ALTINHO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2021,CEMADEN_MAX_GAP_60MIN,TRUE,365,281,246,252,258,0.673972602739726,0.69041095890411,0.706849315068493,0,87,120
CEMADEN,260080701A,Prefeitura,ALTINHO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,104,73,73,74,0.2,0.2,0.202739726027397,0,102,162.5
CEMADEN,260080701A,Prefeitura,ALTINHO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2023,CEMADEN_MAX_GAP_60MIN,TRUE,365,325,270,277,285,0.73972602739726,0.758904109589041,0.780821917808219,0,40,256
CEMADEN,260080701A,Prefeitura,ALTINHO,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2024,CEMADEN_MAX_GAP_60MIN,TRUE,366,358,295,302,310,0.806010928961749,0.825136612021858,0.846994535519126,0,9,640
