arquivo,cod_estacao,nome_estacao,tipo_estacao,variavel,coluna_detectada,coluna_encontrada
dados_82753_H_2017-01-01_2025-12-31.csv,82753,OURICURI,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82753_H_2017-01-01_2025-12-31.csv,82753,OURICURI,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82753_H_2017-01-01_2025-12-31.csv,82753,OURICURI,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82753_H_2017-01-01_2025-12-31.csv,82753,OURICURI,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82753_H_2017-01-01_2025-12-31.csv,82753,OURICURI,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
