cod_estacao,nome_estacao,tipo_estacao,ano,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms
82799,GOIANA,CONVENCIONAL,2018,0,0,0,0,0
82799,GOIANA,CONVENCIONAL,2019,0,0,0,0,0
82799,GOIANA,CONVENCIONAL,2020,0,0,0,0,0
82799,GOIANA,CONVENCIONAL,2021,0,0,0,0,0
82799,GOIANA,CONVENCIONAL,2022,0,0,0,0,0
82799,GOIANA,CONVENCIONAL,2023,0,0,0,0,0
82799,GOIANA,CONVENCIONAL,2024,0,0,0,0,0
82799,GOIANA,CONVENCIONAL,2025,0,0,0,0,0
82886,CABROBO,CONVENCIONAL,2017,82.1004566210046,82.1004566210046,82.1004566210046,82.1004566210046,82.1004566210046
82886,CABROBO,CONVENCIONAL,2018,68.0365296803653,68.0365296803653,68.0365296803653,68.0365296803653,68.0365296803653
82886,CABROBO,CONVENCIONAL,2019,63.013698630137,63.013698630137,63.013698630137,63.013698630137,63.013698630137
82886,CABROBO,CONVENCIONAL,2020,57.3770491803279,57.3770491803279,57.3770491803279,57.3770491803279,57.3770491803279
82886,CABROBO,CONVENCIONAL,2021,57.5342465753425,57.5342465753425,57.5342465753425,57.4429223744292,57.5342465753425
82886,CABROBO,CONVENCIONAL,2022,54.2465753424658,54.2465753424658,54.2465753424658,54.0639269406393,54.2465753424658
82886,CABROBO,CONVENCIONAL,2023,53.6073059360731,53.4246575342466,53.6073059360731,53.4246575342466,53.5159817351598
82886,CABROBO,CONVENCIONAL,2024,48.7249544626594,48.7249544626594,48.7249544626594,48.7249544626594,48.7249544626594
82886,CABROBO,CONVENCIONAL,2025,45.6880733944954,45.5045871559633,45.5045871559633,45.6880733944954,45.6880733944954
82890,ARCO VERDE,CONVENCIONAL,2017,91.5981735159817,91.5068493150685,91.5981735159817,91.5981735159817,91.5981735159817
82890,ARCO VERDE,CONVENCIONAL,2018,94.4292237442922,94.4292237442922,94.4292237442922,94.4292237442922,94.4292237442922
82890,ARCO VERDE,CONVENCIONAL,2019,91.0502283105023,91.0502283105023,91.0502283105023,91.0502283105023,91.0502283105023
82890,ARCO VERDE,CONVENCIONAL,2020,64.1165755919854,64.1165755919854,64.1165755919854,64.2076502732241,64.1165755919854
82890,ARCO VERDE,CONVENCIONAL,2021,65.4794520547945,64.9315068493151,65.4794520547945,65.4794520547945,64.8401826484018
