arquivo,cod_estacao,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,ano,variavel,coluna_detectada,n_registros,n_validos,n_ausentes,pct_validos,n_datas_com_registro,n_datas_com_valor,n_meses_com_valor,inicio_local,fim_local,minimo,p01,mediana,p99,maximo
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2020,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",1098,0,1098,0,366,0,0,2020-01-01T12:00:00Z,2021-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2020,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",1098,0,1098,0,366,0,0,2020-01-01T12:00:00Z,2021-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2020,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",1098,0,1098,0,366,0,0,2020-01-01T12:00:00Z,2021-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2020,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",1098,0,1098,0,366,0,0,2020-01-01T12:00:00Z,2021-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2020,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",1098,0,1098,0,366,0,0,2020-01-01T12:00:00Z,2021-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2021,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",1095,0,1095,0,365,0,0,2021-01-01T12:00:00Z,2022-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2021,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",1095,0,1095,0,365,0,0,2021-01-01T12:00:00Z,2022-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2021,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",1095,0,1095,0,365,0,0,2021-01-01T12:00:00Z,2022-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2021,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",1095,0,1095,0,365,0,0,2021-01-01T12:00:00Z,2022-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2021,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",1095,0,1095,0,365,0,0,2021-01-01T12:00:00Z,2022-01-01T00:00:00Z,,,,,
