estacao_historica,ano_alvo,latitude_mp10,longitude_mp10,origem_coordenada,status_espacial,cod_estacao,ano,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms,direcao_vento_graus_n_dias,pressao_estacao_hpa_n_dias,temperatura_ar_c_n_dias,umidade_relativa_pct_n_dias,velocidade_vento_ms_n_dias,distancia_km,faixa_distancia,n_variaveis_nucleares_com_valor,todas_nucleares_com_valor,completude_min_nucleares,completude_media_nucleares,pressao_disponivel,classe_completude_nuclear,rank_distancia,rank_completude_nuclear
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A328,2018,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Horaria,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,363,363,363,363,363,102.042384103705,>100-150 km,4,TRUE,86.9634703196347,86.9634703196347,TRUE,75-<90%,3,9
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A341,2018,CARUARU,AUTOMATICA,-8.35611111,-36.02833332,837,Horaria,71.4041095890411,72.7054794520548,71.324200913242,73.3447488584475,71.4041095890411,285,294,286,304,285,108.520215377409,>100-150 km,4,TRUE,71.324200913242,71.8692922374429,TRUE,50-<75%,4,12
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A322,2018,GARANHUNS,AUTOMATICA,-8.91083333,-36.49333333,827.78,Horaria,81.9063926940639,81.9063926940639,81.9063926940639,81.9063926940639,81.9063926940639,355,355,355,355,355,169.908230576337,>150 km,4,TRUE,81.9063926940639,81.9063926940639,TRUE,75-<90%,5,10
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A309,2018,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,100,100,100,100,100,365,365,365,365,365,221.524289059248,>150 km,4,TRUE,100,100,TRUE,>=90%,6,1
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A349,2018,IBIMIRIM,AUTOMATICA,-8.50944444,-37.71166666,434.23,Horaria,100,100,100,100,100,365,365,365,365,365,293.928160339481,>150 km,4,TRUE,100,100,TRUE,>=90%,7,1
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A350,2018,SERRA TALHADA,AUTOMATICA,-7.95416666,-38.29499999,499.02,Horaria,88.6529680365297,88.6529680365297,88.6529680365297,88.6529680365297,88.6529680365297,325,325,325,325,325,361.196671965775,>150 km,4,TRUE,88.6529680365297,88.6529680365297,TRUE,75-<90%,8,7
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A351,2018,FLORESTA,AUTOMATICA,-8.59888888,-38.58416666,327.42,Horaria,99.9885844748859,100,100,100,99.9885844748859,365,365,365,365,365,390.247380984112,>150 km,4,TRUE,99.9885844748859,99.994292237443,TRUE,>=90%,9,3
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A370,2018,SALGUEIRO,AUTOMATICA,-8.05805555,-39.0961111,447,Horaria,99.3036529680365,99.3036529680365,99.3036529680365,99.3036529680365,99.3036529680365,365,365,365,365,365,447.603688706487,>150 km,4,TRUE,99.3036529680365,99.3036529680365,TRUE,>=90%,10,4
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A329,2018,CABROBO,AUTOMATICA,-8.50388888,-39.31527777,342.74,Horaria,91.7123287671233,91.7123287671233,91.7123287671233,90.7648401826484,91.7123287671233,351,351,351,351,351,470.168139667278,>150 km,4,TRUE,90.7648401826484,91.4754566210046,TRUE,>=90%,11,6
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A366,2018,OURICURI,AUTOMATICA,-7.88583333,-40.10277777,457.85,Horaria,87.9452054794521,88.013698630137,88.013698630137,88.0022831050228,87.9452054794521,357,357,357,357,357,559.785919239085,>150 km,4,TRUE,87.9452054794521,87.976598173516,TRUE,75-<90%,12,8
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A307,2018,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,73.1963470319635,73.2191780821918,73.2191780821918,73.1963470319635,73.1963470319635,299,299,299,299,299,612.391807707131,>150 km,4,TRUE,73.1963470319635,73.2020547945206,TRUE,50-<75%,13,11
