estacao_historica,ano_alvo,latitude_mp10,longitude_mp10,origem_coordenada,status_espacial,cod_estacao,ano,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms,direcao_vento_graus_n_dias,pressao_estacao_hpa_n_dias,temperatura_ar_c_n_dias,umidade_relativa_pct_n_dias,velocidade_vento_ms_n_dias,distancia_km,faixa_distancia,n_variaveis_nucleares_com_valor,todas_nucleares_com_valor,completude_min_nucleares,completude_media_nucleares,pressao_disponivel,classe_completude_nuclear,rank_distancia,rank_completude_nuclear
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82797,2018,SURUBIM,CONVENCIONAL,-7.84249999,-35.79027777,421.44,Horaria,94.6118721461187,94.5205479452055,94.6118721461187,94.6118721461187,94.6118721461187,365,365,365,365,365,102.042384103705,>100-150 km,4,TRUE,94.6118721461187,94.6118721461187,TRUE,>=90%,6,3
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82893,2018,GARANHUNS,CONVENCIONAL,-8.91083333,-36.49333333,827.78,Horaria,53.2420091324201,53.3333333333333,53.3333333333333,40.6392694063927,53.2420091324201,299,299,299,225,299,169.908230576337,>150 km,4,TRUE,40.6392694063927,50.1141552511416,TRUE,<50%,7,7
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82890,2018,ARCO VERDE,CONVENCIONAL,-8.4336111,-37.05527777,683.91,Horaria,94.4292237442922,94.4292237442922,94.4292237442922,94.4292237442922,94.4292237442922,365,365,365,365,365,221.493742725608,>150 km,4,TRUE,94.4292237442922,94.4292237442922,TRUE,>=90%,8,4
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82789,2018,TRIUNFO,CONVENCIONAL,-7.82972221,-38.12222221,1105,Horaria,0,63.8461538461539,63.8461538461539,63.8461538461539,0,0,83,83,83,0,344.614861056151,>150 km,2,FALSE,0,31.923076923077,TRUE,incompleta,9,8
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82886,2018,CABROBO,CONVENCIONAL,-8.50388888,-39.31527777,342.78,Horaria,68.0365296803653,68.0365296803653,68.0365296803653,68.0365296803653,68.0365296803653,345,345,345,345,345,470.168139667278,>150 km,4,TRUE,68.0365296803653,68.0365296803653,TRUE,50-<75%,10,6
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82753,2018,OURICURI,CONVENCIONAL,-7.87944443,-40.09194444,462.01,Horaria,100,100,100,100,100,365,365,365,365,365,558.674670699393,>150 km,4,TRUE,100,100,TRUE,>=90%,11,1
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82983,2018,PETROLINA,CONVENCIONAL,-9.3886111,-40.52333332,372.54,Horaria,94.2465753424658,94.2465753424658,94.2465753424658,94.1552511415525,94.2465753424658,365,365,365,365,365,612.397208797754,>150 km,4,TRUE,94.1552511415525,94.2237442922375,TRUE,>=90%,12,5
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82897,2021,TAPACURA,CONVENCIONAL,-8.17,-35.18,102,Horaria,0.091324200913242,0.091324200913242,0.091324200913242,0.091324200913242,0.091324200913242,1,1,1,1,1,35.4819504777949,>25-50 km,4,TRUE,0.091324200913242,0.091324200913242,TRUE,<50%,1,6
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82898,2021,OLINDA,CONVENCIONAL,-8.02,-34.85,55,Horaria,0.091324200913242,0,0.091324200913242,0.091324200913242,0.091324200913242,1,0,1,1,1,50.4417251048879,>50-75 km,4,TRUE,0.091324200913242,0.091324200913242,FALSE,<50%,2,6
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82781,2021,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,0,0,0,0,0,0,0,0,0,0,83.4918755057985,>75-100 km,0,FALSE,0,0,FALSE,incompleta,3,9
