fonte_dados,cod_estacao,ano,n_antes,n_duplicatas_exatas_removiveis,n_depois,n_arquivos
CEMADEN,260920401A,2017,13167,61,13106,13
CEMADEN,260920401A,2025,11476,794,10682,13
CEMADEN,260920402A,2017,13218,1,13217,13
CEMADEN,260930301A,2025,9131,744,8387,13
CEMADEN,260930301C,2025,8251,770,7481,13
CEMADEN,260940201A,2017,13456,1,13455,13
CEMADEN,260940201A,2025,11644,819,10825,13
CEMADEN,260940202A,2017,11355,2,11353,12
CEMADEN,260940202A,2025,11708,784,10924,13
CEMADEN,260950101A,2017,11829,1,11828,13
CEMADEN,260950102A,2017,11936,1,11935,13
CEMADEN,260950102A,2025,11018,819,10199,13
CEMADEN,260950103A,2017,11268,1,11267,13
CEMADEN,260960001A,2017,17780,1,17779,13
CEMADEN,260960002A,2017,12825,1,12824,13
CEMADEN,260960003A,2017,14404,43,14361,13
CEMADEN,260960004A,2017,15728,45,15683,13
CEMADEN,260960004A,2025,11490,831,10659,13
CEMADEN,260960005A,2017,13581,57,13524,13
CEMADEN,260970901A,2025,5571,143,5428,11
CEMADEN,260970901C,2017,14201,1,14200,10
CEMADEN,260970901C,2025,10496,694,9802,13
CEMADEN,260980801A,2017,4688,1,4687,8
CEMADEN,260980801A,2025,7794,722,7072,12
CEMADEN,260980801C,2017,3735,1,3734,10
CEMADEN,260990701A,2025,6024,26,5998,13
CEMADEN,260990701C,2025,9421,744,8677,13
CEMADEN,261000402A,2017,12852,1,12851,13
CEMADEN,261000402A,2025,7612,78,7534,13
CEMADEN,261000403A,2025,11806,780,11026,13
CEMADEN,261010301A,2025,11874,786,11088,13
CEMADEN,261020201A,2025,11077,782,10295,13
CEMADEN,261030101A,2025,10111,757,9354,13
CEMADEN,261040001A,2025,6488,637,5851,10
CEMADEN,261040001C,2017,6185,1,6184,13
CEMADEN,261040002A,2025,7189,295,6894,13
CEMADEN,261050901A,2025,6218,114,6104,11
CEMADEN,261070702A,2017,12977,1,12976,13
CEMADEN,261070702A,2025,11279,755,10524,13
CEMADEN,261070703A,2017,11667,1,11666,12
CEMADEN,261070703A,2025,2271,143,2128,11
CEMADEN,261070704A,2017,12484,1,12483,13
CEMADEN,261070704A,2025,6270,405,5865,13
CEMADEN,261070705A,2017,14306,1,14305,13
CEMADEN,261070705A,2025,9808,821,8987,13
CEMADEN,261070706A,2017,14082,1,14081,13
CEMADEN,261080601C,2017,10574,1,10573,12
CEMADEN,261090501A,2025,10190,750,9440,13
CEMADEN,261090501C,2025,9657,755,8902,13
CEMADEN,261090502A,2025,3440,745,2695,5
CEMADEN,261090503A,2025,3532,752,2780,5
CEMADEN,261090504A,2025,2780,754,2026,4
CEMADEN,261100201A,2025,9530,734,8796,13
CEMADEN,261110101A,2017,9006,1,9005,13
CEMADEN,261110101C,2017,4392,1,4391,12
CEMADEN,261110101C,2025,9642,757,8885,13
CEMADEN,261110102A,2017,9074,1,9073,13
CEMADEN,261110102A,2025,9745,752,8993,13
CEMADEN,261110103A,2017,9090,1,9089,13
CEMADEN,261110103A,2025,9741,754,8987,13
CEMADEN,261110103C,2017,3349,1,3348,10
CEMADEN,261110104A,2017,8976,1,8975,13
CEMADEN,261110105A,2025,7783,507,7276,11
CEMADEN,261110106A,2025,9232,744,8488,13
CEMADEN,261120001A,2017,11103,1,11102,13
CEMADEN,261120001A,2025,10957,756,10201,13
CEMADEN,261130901A,2017,12271,1,12270,13
CEMADEN,261130901A,2025,10294,762,9532,13
CEMADEN,261140801A,2017,10077,1,10076,13
CEMADEN,261140801A,2025,4881,495,4386,13
CEMADEN,261150701A,2017,14331,1,14330,13
CEMADEN,261150701A,2025,9355,546,8809,13
CEMADEN,261150702A,2017,16966,39,16927,13
