fonte_dados,cod_estacao,ano,n,minimo,p50,p95,p99,p999,maximo
CEMADEN,260080702A,2019,8956,0,0,0.42,1.18,5.15665000000003,10.37
CEMADEN,260080702A,2020,9369,0,0,0.42,1.77,8.17359999999959,14.28
CEMADEN,260080702A,2021,9805,0,0,0.39,0.98,3.15,8.12
CEMADEN,260080702A,2022,5369,0,0,0.79,2.56,8.5583199999996,14.5
CEMADEN,260090601A,2017,1071,0,0,0.2,1.23699999999999,6.75920000000022,7.22
CEMADEN,260090601A,2018,10618,0,0,0.98,2.95,7.53446999999998,17.28
CEMADEN,260090601A,2019,10680,0,0,0.98,2.95,7.44518999999997,20.39
CEMADEN,260090601A,2020,10242,0,0,0.98,2.95,7.32083000000001,27.33
CEMADEN,260090601A,2021,5653,0,0,0.79,1.97,5.37959999999999,13.28
CEMADEN,260090601A,2022,11461,0,0,1.18,3.15,8.43800000000018,18.11
CEMADEN,260090601A,2023,11528,0,0,1.18,3.1573,7.62567999999999,15.17
CEMADEN,260090601A,2024,9847,0,0,0.79,2.76,7.13080000000009,113.71
CEMADEN,260090601A,2025,9280,0,0,1.37,3.15,6.98560999999982,10.42
CEMADEN,260090602A,2025,3407,0,0,0.6,1.6,3.31880000000001,5.6
CEMADEN,260090603A,2025,3361,0,0,0.6,1.6,3.98399999999992,6.4
CEMADEN,260090604A,2025,1579,0,0,0.8,2,4.93760000000002,7
CEMADEN,260100301A,2017,624,0,0,0.2,0.936299999999997,2.56,2.56
CEMADEN,260100301A,2018,9766,0,0,0.39,1.18,4.96700000000012,8.94
CEMADEN,260100301A,2019,8038,0,0,0.39,1.37,5.50259999999995,6901.58
CEMADEN,260100301A,2020,5309,0,0,0.59,2.16,7.4384,21.03
CEMADEN,260100301A,2021,2334,0,0,0.2,0.59,2.42679999999997,3.15
CEMADEN,260100301A,2022,2661,0,0,0.42,1.84600000000002,4.33,7.92
CEMADEN,260100301A,2023,10328,0,0,0.42,1.37,5.97247000000027,10.17
CEMADEN,260100301A,2024,9715,0,0,0.42,1.37,6.01440000000002,14.92
CEMADEN,260100301A,2025,5638,0,0,0.59,1.69600000000002,8.50532000000047,16.64
CEMADEN,260105201A,2017,1262,0,0,0,0.79,2.10780000000001,3.35
CEMADEN,260105201A,2018,10048,0,0,0.719999999999927,2.95,8.91119999999981,12.8
CEMADEN,260105201A,2019,9155,0,0,0.98,3.15,7.88535999999993,18.72
CEMADEN,260105201A,2020,10121,0,0,0.59,2.16,7.63679999999951,16.87
CEMADEN,260105201A,2021,4802,0,0,0.59,1.57,2.95,4.33
CEMADEN,260105201A,2022,8146,0,0,1.18,3.74,9.14855,13.43
CEMADEN,260105201A,2023,10349,0,0,0.79,2.76,8.69376000000004,12.9
CEMADEN,260105201A,2024,9051,0,0,0.59,2.56,10.7795000000002,253.44
