fonte_dados,cod_estacao,ano,nome_estacao,tipo_estacao,periodicidade_fonte,intervalo_modal_min,n_intervalos_modais,n_dias_com_valor,moda_n_validas,p50_n_validas,p90_n_validas,p95_n_validas,max_n_validas,n_esperado_intervalo,erro_fechamento_min,intervalo_fecha_dia,n_esperado_dia,razao_p95_esperado,cadencia_inconsistente,confianca_cadencia
CEMADEN,260050001A,2023,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,759,44,24,23,24,25.7,29,24,0,TRUE,24,1.07083333333333,FALSE,ALTA
CEMADEN,260050001A,2024,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,6362,362,24,24,31,35.95,54,24,0,TRUE,24,1.49791666666667,TRUE,BAIXA
CEMADEN,260050001A,2025,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,5835,365,24,24,33,43,76,24,0,TRUE,24,1.79166666666667,TRUE,BAIXA
CEMADEN,260050002A,2017,Centro,PLUVIOMETRICA_AUTOMATICA,,60,7677,362,24,24,62.8000000000001,83.95,130,24,0,TRUE,24,3.49791666666667,TRUE,BAIXA
CEMADEN,260050002A,2018,Centro,PLUVIOMETRICA_AUTOMATICA,,60,8325,365,24,24,29,33,59,24,0,TRUE,24,1.375,TRUE,BAIXA
CEMADEN,260050002A,2019,Centro,PLUVIOMETRICA_AUTOMATICA,,60,7188,337,24,24,32.4,35.2,75,24,0,TRUE,24,1.46666666666667,TRUE,BAIXA
CEMADEN,260050002A,2020,Centro,PLUVIOMETRICA_AUTOMATICA,,60,6584,347,24,24,33,36.7,84,24,0,TRUE,24,1.52916666666667,TRUE,BAIXA
CEMADEN,260050002A,2021,Centro,PLUVIOMETRICA_AUTOMATICA,,60,6730,326,24,24,24,24.75,33,24,0,TRUE,24,1.03125,FALSE,ALTA
CEMADEN,260050002A,2022,Centro,PLUVIOMETRICA_AUTOMATICA,,60,5159,257,24,24,40,47,105,24,0,TRUE,24,1.95833333333333,TRUE,BAIXA
CEMADEN,260050002A,2023,Centro,PLUVIOMETRICA_AUTOMATICA,,60,8213,365,24,24,33,38,66,24,0,TRUE,24,1.58333333333333,TRUE,BAIXA
CEMADEN,260050002A,2024,Centro,PLUVIOMETRICA_AUTOMATICA,,60,8179,366,24,24,33.5,38.75,61,24,0,TRUE,24,1.61458333333333,TRUE,BAIXA
CEMADEN,260050002A,2025,Centro,PLUVIOMETRICA_AUTOMATICA,,60,7394,336,24,24,38,50,88,24,0,TRUE,24,2.08333333333333,TRUE,BAIXA
CEMADEN,260060901A,2024,Alagoinha [Garagem Municipal] - APAC,PLUVIOMETRICA_AUTOMATICA,,60,5644,275,24,24,30,34.3,69,24,0,TRUE,24,1.42916666666667,TRUE,BAIXA
CEMADEN,260060901A,2025,Alagoinha [Garagem Municipal] - APAC,PLUVIOMETRICA_AUTOMATICA,,60,6574,346,24,24,29,34,64,24,0,TRUE,24,1.41666666666667,TRUE,BAIXA
CEMADEN,260060901U,2017,ALAGOINHA,PLUVIOMETRICA_AUTOMATICA,,60,347,20,24,24,24,24.1,26,24,0,TRUE,24,1.00416666666667,FALSE,MEDIA
CEMADEN,260060901U,2018,ALAGOINHA,PLUVIOMETRICA_AUTOMATICA,,60,5134,224,24,24,26,27.85,45,24,0,TRUE,24,1.16041666666667,FALSE,ALTA
CEMADEN,260060901U,2019,ALAGOINHA,PLUVIOMETRICA_AUTOMATICA,,60,3366,149,24,24,30,34.6,59,24,0,TRUE,24,1.44166666666667,TRUE,BAIXA
CEMADEN,260060901U,2022,ALAGOINHA,PLUVIOMETRICA_AUTOMATICA,,60,643,30,24,24,29.3,35.3,46,24,0,TRUE,24,1.47083333333333,TRUE,BAIXA
CEMADEN,260070801A,2017,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,822,43,24,23,24.8,29.7,32,24,0,TRUE,24,1.2375,FALSE,ALTA
CEMADEN,260070801A,2018,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7442,365,24,24,32,35.8,63,24,0,TRUE,24,1.49166666666667,TRUE,BAIXA
CEMADEN,260070801A,2019,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,6310,353,24,24,35,39.8,102,24,0,TRUE,24,1.65833333333333,TRUE,BAIXA
CEMADEN,260070801A,2020,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,5960,338,24,24,31,38.3,67,24,0,TRUE,24,1.59583333333333,TRUE,BAIXA
CEMADEN,260070801A,2021,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,1803,101,24,26,39,41,51,24,0,TRUE,24,1.70833333333333,TRUE,BAIXA
CEMADEN,260070801A,2022,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3048,236,24,24,37,47.5,65,24,0,TRUE,24,1.97916666666667,TRUE,BAIXA
CEMADEN,260070801A,2023,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7596,365,24,24,36.6,41,85,24,0,TRUE,24,1.70833333333333,TRUE,BAIXA
CEMADEN,260070801A,2024,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7094,355,24,24,32,39,87,24,0,TRUE,24,1.625,TRUE,BAIXA
CEMADEN,260070801A,2025,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,5622,268,24,25,42,50.65,121,24,0,TRUE,24,2.11041666666667,TRUE,BAIXA
CEMADEN,260080701A,2017,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,7663,365,24,24,64.6,78.4,111,24,0,TRUE,24,3.26666666666667,TRUE,BAIXA
CEMADEN,260080701A,2018,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,8140,365,24,24,32,35.8,64,24,0,TRUE,24,1.49166666666667,TRUE,BAIXA
CEMADEN,260080701A,2019,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,7502,361,24,24,32,38,97,24,0,TRUE,24,1.58333333333333,TRUE,BAIXA
CEMADEN,260080701A,2020,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,7856,366,24,24,33.5,39,64,24,0,TRUE,24,1.625,TRUE,BAIXA
CEMADEN,260080701A,2021,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,6125,281,24,24,34,40,62,24,0,TRUE,24,1.66666666666667,TRUE,BAIXA
CEMADEN,260080701A,2022,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,2042,104,24,24,41,55.85,84,24,0,TRUE,24,2.32708333333333,TRUE,BAIXA
CEMADEN,260080701A,2023,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,6810,325,24,24,36,41,75,24,0,TRUE,24,1.70833333333333,TRUE,BAIXA
CEMADEN,260080701A,2024,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,7550,358,24,24,32,37,88,24,0,TRUE,24,1.54166666666667,TRUE,BAIXA
CEMADEN,260080701A,2025,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,4525,272,24,24,35,40.45,76,24,0,TRUE,24,1.68541666666667,TRUE,BAIXA
CEMADEN,260080701C,2018,ALTINHO,PLUVIOMETRICA_AUTOMATICA,,60,2486,117,24,24,24,24.2,33,24,0,TRUE,24,1.00833333333333,FALSE,ALTA
