fonte_dados,cod_estacao,ano,nome_estacao,tipo_estacao,periodicidade_fonte,intervalo_modal_min,n_esperado_dia,confianca_cadencia,cadencia_inconsistente,n_dias_calendario,n_dias_algum_valor,n_dias_75,n_dias_80,n_dias_90,n_dias_100,prop_algum_valor,prop_75,prop_80,prop_90,prop_100,maior_lacuna_sem_90,n_dias_acima_esperado,n_meses_algum_valor,n_meses_80pct_dias_90
CEMADEN,260020301U,2022,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,77,75,75,73,73,0.210958904109589,0.205479452054795,0.205479452054795,0.2,0.2,166,13,4,1
CEMADEN,260020302A,2024,Afrânio [Centro] - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,366,157,148,148,146,140,0.42896174863388,0.404371584699454,0.404371584699454,0.398907103825137,0.382513661202186,216,12,6,5
CEMADEN,260020302A,2025,Afrânio [Centro] - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,364,359,356,351,327,0.997260273972603,0.983561643835616,0.975342465753425,0.961643835616438,0.895890410958904,3,35,12,12
CEMADEN,260030201A,2019,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,209,193,190,190,188,0.572602739726027,0.528767123287671,0.520547945205479,0.520547945205479,0.515068493150685,135,94,8,5
CEMADEN,260030201A,2020,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,201,195,194,193,191,0.549180327868853,0.532786885245902,0.530054644808743,0.527322404371585,0.521857923497268,142,109,8,6
CEMADEN,260030201A,2021,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,151,149,149,147,137,0.413698630136986,0.408219178082192,0.408219178082192,0.402739726027397,0.375342465753425,215,51,5,5
CEMADEN,260030201A,2022,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,363,362,359,346,1,0.994520547945205,0.991780821917808,0.983561643835616,0.947945205479452,1,158,12,12
CEMADEN,260030201A,2023,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,362,362,362,353,1,0.991780821917808,0.991780821917808,0.991780821917808,0.967123287671233,2,153,12,12
CEMADEN,260030201A,2024,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,336,301,299,298,288,0.918032786885246,0.822404371584699,0.816939890710383,0.814207650273224,0.786885245901639,30,107,12,8
CEMADEN,260030201A,2025,AGRESTINA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,303,258,257,255,245,0.83013698630137,0.706849315068493,0.704109589041096,0.698630136986301,0.671232876712329,57,114,12,8
CEMADEN,260040101A,2017,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,362,359,359,357,347,0.991780821917808,0.983561643835616,0.983561643835616,0.978082191780822,0.950684931506849,3,202,12,12
