fonte_dados,cod_estacao,nome_estacao,ano,mes,n_esperado_dia,confianca_cadencia,cadencia_inconsistente,n_dias_calendario,n_dias_algum_valor,n_dias_75,n_dias_80,n_dias_90,n_dias_100,prop_algum_valor,prop_75,prop_80,prop_90,prop_100,n_dias_acima_esperado,mes_80pct_dias_90
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,3,24,BAIXA,TRUE,31,29,19,19,19,18,0.935483870967742,0.612903225806452,0.612903225806452,0.612903225806452,0.580645161290323,9,FALSE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,4,24,BAIXA,TRUE,30,30,30,30,29,28,1,1,1,0.966666666666667,0.933333333333333,17,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,5,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,15,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,6,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,25,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,7,24,BAIXA,TRUE,31,31,31,31,31,30,1,1,1,1,0.967741935483871,21,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,8,24,BAIXA,TRUE,31,24,23,23,22,22,0.774193548387097,0.741935483870968,0.741935483870968,0.709677419354839,0.709677419354839,10,FALSE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,9,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,12,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,10,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,6,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,11,24,BAIXA,TRUE,30,30,30,30,30,28,1,1,1,1,0.933333333333333,4,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2024,12,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,10,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,1,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,14,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,2,24,BAIXA,TRUE,28,28,28,28,28,28,1,1,1,1,1,14,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,3,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,21,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,4,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,11,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,5,24,BAIXA,TRUE,31,31,31,31,31,30,1,1,1,1,0.967741935483871,21,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,6,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,27,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,7,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,24,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,8,24,BAIXA,TRUE,31,31,31,31,31,30,1,1,1,1,0.967741935483871,25,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,9,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,15,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,10,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,13,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,11,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,3,TRUE
CEMADEN,260005402A,ABREU E LIMA - APAC,2025,12,24,BAIXA,TRUE,31,31,29,29,29,28,1,0.935483870967742,0.935483870967742,0.935483870967742,0.903225806451613,6,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,1,24,BAIXA,TRUE,31,15,14,14,14,13,0.483870967741936,0.451612903225806,0.451612903225806,0.451612903225806,0.419354838709677,5,FALSE
