fonte_dados,cod_estacao,nome_estacao,ano,datahora_local,precipitacao_mm,arquivo_origem
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T15:10:00Z,98.82,data(104).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T16:10:00Z,96.3,data(104).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-27T18:40:00Z,96.09,data(81).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-25T11:40:00Z,95.88,data(81).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-28T17:30:00Z,95.46,data(81).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T16:20:00Z,95.25,data(104).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-29T16:50:00Z,91.26,data(81).csv
INMET,A370,SALGUEIRO,2019,2019-02-16T09:00:00Z,90,dados_A370_H_2017-09-14_2025-12-31.csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T16:30:00Z,89.58,data(104).csv
INMET,A351,FLORESTA,2017,2017-03-18T14:00:00Z,88.2,dados_A351_H_2017-01-01_2025-12-31.csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T16:40:00Z,87.49,data(104).csv
CEMADEN,261160616A,Várzea,2018,2018-05-01T09:10:00Z,87.07,data(22).csv
CEMADEN,260825501A,JUCATI - APAC,2019,2019-11-12T18:40:00Z,85.81,data(40).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-25T19:00:00Z,85.39,data(81).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T15:50:00Z,85.18,data(104).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-24T18:40:00Z,83.5,data(81).csv
CEMADEN,260460101A,CONDADO - APAC,2025,2025-08-31T10:30:00Z,83.29,data(109).csv
CEMADEN,261160618A,Torreão,2019,2019-06-16T23:40:00Z,82.45,data(35).csv
INMET,82797,SURUBIM,2020,2020-06-20T12:00:00Z,81.8,dados_82797_H_2017-01-01_2025-12-31.csv
INMET,82753,OURICURI,2019,2019-11-26T12:00:00Z,81.6,dados_82753_H_2017-01-01_2025-12-31.csv
INMET,82753,OURICURI,2017,2017-02-10T12:00:00Z,81.1,dados_82753_H_2017-01-01_2025-12-31.csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-24T18:10:00Z,80.77,data(81).csv
CEMADEN,260345401A,Timbi,2017,2017-06-03T21:30:00Z,79.51,data(11).csv
CEMADEN,261000402A,Japaranduba,2024,2024-02-27T12:20:00Z,79.09,data(91).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-20T11:40:00Z,78.05,data(81).csv
CEMADEN,260610101A,APODI - APAC,2018,2018-03-22T17:30:00Z,77.63,data(20).csv
CEMADEN,261370101A,Chã da Tábua,2022,2022-11-11T13:30:00Z,77.63,data(76).csv
INMET,82900,RECIFE (CURADO),2019,2019-07-24T12:00:00Z,77.6,dados_82900_H_2017-01-01_2020-08-31.csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T16:00:00Z,77.21,data(104).csv
INMET,82890,ARCO VERDE,2019,2019-03-24T12:00:00Z,77,dados_82890_H_2017-01-01_2025-12-31.csv
INMET,82753,OURICURI,2021,2021-04-14T12:00:00Z,76.6,dados_82753_H_2017-01-01_2025-12-31.csv
INMET,82797,SURUBIM,2018,2018-04-13T12:00:00Z,76.2,dados_82797_H_2017-01-01_2025-12-31.csv
INMET,82797,SURUBIM,2020,2020-06-19T18:00:00Z,76.2,dados_82797_H_2017-01-01_2025-12-31.csv
CEMADEN,261140801A,Residencial Primavera,2025,2025-06-20T09:30:00Z,75.32,data(107).csv
INMET,82886,CABROBO,2023,2023-05-15T12:00:00Z,75.2,dados_82886_H_2017-01-01_2025-07-01.csv
CEMADEN,261170501A,RIACHO DAS ALMAS - APAC,2020,2020-01-23T17:10:00Z,75.11,data(42).csv
INMET,82753,OURICURI,2018,2018-12-18T00:00:00Z,75,dados_82753_H_2017-01-01_2025-12-31.csv
INMET,82890,ARCO VERDE,2020,2020-03-25T12:00:00Z,75,dados_82890_H_2017-01-01_2025-12-31.csv
CEMADEN,261400601A,IPUEIRA - APAC,2019,2019-04-05T07:40:00Z,74.69,data(33).csv
CEMADEN,260620002A,Centro,2022,2022-05-24T19:10:00Z,74,data(70).csv
INMET,82753,OURICURI,2021,2021-04-22T12:00:00Z,73,dados_82753_H_2017-01-01_2025-12-31.csv
INMET,82900,RECIFE (CURADO),2020,2020-04-24T18:00:00Z,72.1,dados_82900_H_2017-01-01_2020-08-31.csv
INMET,82900,RECIFE (CURADO),2017,2017-05-31T12:00:00Z,72,dados_82900_H_2017-01-01_2020-08-31.csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T18:30:00Z,71.33,data(104).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T18:00:00Z,70.7,data(104).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T19:10:00Z,70.7,data(104).csv
