"id_linha_v1","ano","cod_estacao","no_estacao","dh_medicao","dh_arredondado","nu_concentracao","st_situacao","cd_flag","ds_flag","no_fonte_dados","regra_validade"
150623,2024,"13","CUPE","2024-12-05 18:00:00.000",2024-12-05 18:00:00,-1.689,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
150624,2024,"13","CUPE","2024-12-07 10:00:00.000",2024-12-07 10:00:00,-2.003,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
161376,2025,"12","IPOJUCA","2025-10-24 09:00:00.000",2025-10-24 09:00:00,-25.511,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
163536,2025,"12","IPOJUCA","2025-12-28 09:00:00.000",2025-12-28 09:00:00,-11846.61,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
163537,2025,"12","IPOJUCA","2025-12-28 10:00:00.000",2025-12-28 10:00:00,-15.559,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
163538,2025,"12","IPOJUCA","2025-12-28 11:00:00.000",2025-12-28 11:00:00,-6.131,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
152615,2025,"13","CUPE","2025-01-23 10:00:00.000",2025-01-23 10:00:00,-4.101,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
152616,2025,"13","CUPE","2025-01-23 11:00:00.000",2025-01-23 11:00:00,-2.173,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
152617,2025,"13","CUPE","2025-01-23 12:00:00.000",2025-01-23 12:00:00,-0.38,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
152613,2025,"15","CPRH","2025-01-06 08:00:00.000",2025-01-06 08:00:00,-2.475,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
152614,2025,"15","CPRH","2025-01-06 09:00:00.000",2025-01-06 09:00:00,-12.188,"IN","V","Válido","CPRH","INVALIDO_STATUS_FONTE"
