fonte_dados,cod_estacao,ano_alvo,estacao_mp10,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude_ref,longitude_ref,amplitude_lat,amplitude_lon,flag_coordenada_variavel,primeiro_ano,ultimo_ano,n_anos_com_dados,n_anos_12_meses,n_anos_300_dias,n_anos_330_dias,media_dias_com_registro,menor_prop_registros_com_valor,media_prop_registros_com_valor,cod_estacao_mp10,municipio_mp10,latitude_mp10,longitude_mp10,distancia_km,faixa_distancia,estacao_historica,nota,n_registros_ano,n_registros_com_valor_ano,n_registros_sem_valor_ano,n_datas_com_registro_ano,n_meses_com_registro_ano,precipitacao_min_ano,precipitacao_max_ano,ano_tem_dados,ano_12_meses,ano_300_dias,ano_330_dias
CEMADEN,261160609A,2021,EDCUPE,Imbiribeira | UPA da Imbiribeira,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.120975,-8.120975,-34.913983,-34.913983,84302,2017-01-01T03:00:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1600,0,-8.120975,-34.913983,0,0,FALSE,2017,2025,9,5,6,4,279.6,1,1,13,Ipojuca,-8.39754,-35.04313,33.8776438734757,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10753,10753,0,363,12,0,11.79,TRUE,TRUE,TRUE,TRUE
CEMADEN,261140801A,2021,EDCUPE,Centro | Residencial Primavera,PRIMAVERA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.35518,-8.331,-35.352,-35.34891,71445,2017-01-01T03:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,992,0,-8.34309,-35.350455,0.0241800000000012,0.00309000000000026,TRUE,2017,2025,9,7,7,5,296.4,1,1,13,Ipojuca,-8.39754,-35.04313,34.3468638544025,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,8412,8412,0,362,12,0,0.2,TRUE,TRUE,TRUE,TRUE
CEMADEN,260790103A,2021,EDCUPE,Cavaleiro,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.096,-8.096,-34.971,-34.971,59863,2017-01-01T03:00:00Z,2024-09-14T03:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.096,-34.971,0,0,FALSE,2017,2024,8,5,5,4,279.375,1,1,13,Ipojuca,-8.39754,-35.04313,34.4564927035194,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,9661,9661,0,343,12,0,11.38,TRUE,TRUE,TRUE,TRUE
CEMADEN,261160621A,2021,EDCUPE,Areias,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.102,-8.102,-34.929,-34.929,84361,2017-01-01T03:00:00Z,2024-12-21T19:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.102,-34.929,0,0,FALSE,2017,2024,8,8,8,8,361.5,1,1,13,Ipojuca,-8.39754,-35.04313,35.1807831840281,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10775,10775,0,365,12,0,15.2,TRUE,TRUE,TRUE,TRUE
CEMADEN,260790103G,2021,EDCUPE,Curado II,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.08213,-8.082069,-35.002892,-35.002782,42816,2019-10-01T01:50:00Z,2024-03-21T07:10:00Z,2019;2020;2021;2022;2023;2024,0,0,0,0,-8.0820995,-35.002837,6.09999999987565e-05,0.000109999999999388,FALSE,2019,2024,6,4,3,3,255.166666666667,1,1,13,Ipojuca,-8.39754,-35.04313,35.3545949089098,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,11068,11068,0,361,12,0,14.8,TRUE,TRUE,TRUE,TRUE
CEMADEN,260790108A,2021,EDCUPE,Curado 4 | CuradoII,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.08,-8.07105,-34.997,-34.99392,74068,2017-01-01T03:00:00Z,2024-05-13T19:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.075525,-34.99546,0.00895000000000046,0.00307999999999709,FALSE,2017,2024,8,6,6,6,278.666666666667,1,1,13,Ipojuca,-8.39754,-35.04313,36.1887365141337,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10996,10996,0,365,12,0,18.51,TRUE,TRUE,TRUE,TRUE
CEMADEN,260940201A,2021,EDCUPE,Bonança,MORENO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.105,-8.105,-35.195,-35.195,80161,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1640,0,-8.105,-35.195,0,0,FALSE,2017,2025,9,6,6,6,301.888888888889,1,1,13,Ipojuca,-8.39754,-35.04313,36.5710205481279,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,9959,9959,0,361,12,0,10.37,TRUE,TRUE,TRUE,TRUE
CEMADEN,261190302A,2021,EDCUPE,Cocaú,RIO FORMOSO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.64,-8.64,-35.27,-35.27,65282,2017-01-01T03:00:00Z,2024-07-27T01:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.64,-35.27,0,0,FALSE,2017,2024,8,5,5,5,291.875,1,1,13,Ipojuca,-8.39754,-35.04313,36.7326572733228,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,9870,9870,0,363,12,0,12.61,TRUE,TRUE,TRUE,TRUE
CEMADEN,261160617A,2021,EDCUPE,Pina,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.099,-8.099,-34.887,-34.887,92364,2017-01-01T03:00:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1490,0,-8.099,-34.887,0,0,FALSE,2017,2025,9,9,9,9,363.444444444444,1,1,13,Ipojuca,-8.39754,-35.04313,37.3789076993713,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10604,10604,0,365,12,0,14.05,TRUE,TRUE,TRUE,TRUE
CEMADEN,261180401A,2021,EDCUPE,Bandeirante,RIBEIRÃO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.507,-8.507,-35.385,-35.385,94352,2017-01-01T03:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1644,0,-8.507,-35.385,0,0,FALSE,2017,2025,9,8,8,8,354.333333333333,1,1,13,Ipojuca,-8.39754,-35.04313,39.5222245176756,>30-50 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10646,10646,0,361,12,0,11.59,TRUE,TRUE,TRUE,TRUE
