fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude_ref,longitude_ref,amplitude_lat,amplitude_lon,flag_coordenada_variavel,primeiro_ano,ultimo_ano,n_anos_com_dados,n_anos_12_meses,n_anos_300_dias,n_anos_330_dias,media_dias_com_registro,menor_prop_registros_com_valor,media_prop_registros_com_valor,cod_estacao_mp10,estacao_mp10,municipio_mp10,latitude_mp10,longitude_mp10,distancia_km,faixa_distancia
CEMADEN,260830501A,JUPI - APAC,JUPI,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.7103,-8.7103,-36.3956,-36.3956,62679,2017-12-14T10:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1478,0,-8.7103,-36.3956,0,0,FALSE,2017,2025,9,5,5,5,268,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,154.773414694444,>50 km
CEMADEN,260170602A,G2-260170602A | G2-IFPE - Belo Jardim,BELO JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.320314,-8.320293,-36.41771,-36.417612,3695,2025-09-03T16:00:00Z,2025-12-31T23:10:00Z,2025,0,0,1504,0,-8.3203035,-36.417661,2.10000000002708e-05,9.80000000012637e-05,FALSE,2025,2025,1,0,0,0,60.5,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,155.016941544501,>50 km
CEMADEN,260170601A,15º BPM - Belo Jardim - APAC | Belo Jardim [15 BPM] - APAC,BELO JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.34427,-8.34427,-36.41994,-36.41994,17002,2023-08-09T12:20:00Z,2025-12-06T20:10:00Z,2023;2024;2025,0,0,74,0,-8.34427,-36.41994,0,0,FALSE,2023,2025,3,1,1,1,166.75,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,155.049350201015,>50 km
CEMADEN,260170603A,G2-260170603A | G2-Garagem - Prefeitura,BELO JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.335712,-8.335706,-36.41971,-36.419691,3703,2025-09-03T14:00:00Z,2025-12-31T23:10:00Z,2025,0,0,1510,0,-8.335709,-36.4197005,5.99999999906231e-06,1.90000000017676e-05,FALSE,2025,2025,1,0,0,0,60.5,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,155.09548994054,>50 km
CEMADEN,261320601A,SAO JOAO - APAC,SÃO JOÃO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.878166,-8.878166,-36.368083,-36.368083,59752,2017-12-05T19:10:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1472,0,-8.878166,-36.368083,0,0,FALSE,2017,2025,9,4,5,4,252.222222222222,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,156.494150096188,>50 km
CEMADEN,260170604A,G2-260170604A | G2-Escola Santo Antônio,BELO JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.339078,-8.338604,-36.43384,-36.433817,3676,2025-09-03T18:10:00Z,2025-12-31T23:10:00Z,2025,0,0,1498,0,-8.338841,-36.4338285,0.00047400000000053,2.2999999998774e-05,FALSE,2025,2025,1,0,0,0,60.5,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,156.618118960206,>50 km
CEMADEN,261010301U,PALMEIRINA,PALMEIRINA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-9.048166,-9.048166,-36.311972,-36.311972,6758,2017-07-10T19:30:00Z,2022-06-30T12:00:00Z,2017;2018;2019;2022,0,0,0,0,-9.048166,-36.311972,0,0,FALSE,2017,2022,4,0,0,0,54.25,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,157.693230272123,>50 km
CEMADEN,261010301A,PALMEIRINA - APAC,PALMEIRINA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-9.000278,-9.000278,-36.334722,-36.334722,69371,2017-12-19T13:50:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1572,0,-9.000278,-36.334722,0,0,FALSE,2017,2025,9,6,6,6,292.111111111111,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,157.803223712785,>50 km
CEMADEN,260170601C,BELO JARDIM,BELO JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.34075,-8.34075,-36.451888,-36.451888,27326,2018-02-09T16:00:00Z,2025-06-10T06:10:00Z,2018;2019;2020;2022;2023;2024;2025,0,0,0,0,-8.34075,-36.451888,0,0,FALSE,2018,2025,7,2,4,3,225.857142857143,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,158.583477912818,>50 km
CEMADEN,261300801C,SAO BENTO DO UNA,SÃO BENTO DO UNA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.524472,-8.524472,-36.473388,-36.473388,69669,2017-02-11T11:40:00Z,2025-12-31T22:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1346,0,-8.524472,-36.473388,0,0,FALSE,2017,2025,9,6,6,3,289,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,160.74935505901,>50 km
