criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,estacao_historica,ano_alvo,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,287,250,80.1282051282051,0.688426884760311,0.662742524403678,0.698985078380988,0.652777432704426,1005.04,1718.09,1.7094742497811,2.48449477351916,3.77606271777004,9.51662870722713,2.30736,3.4632,9.11710695341455,0.745644599303136,0.629441624365482,0.714285714285714,0.467532467532468,IPOJUCA,2025,260720801A,Centro,7.32836097674827,260290202A,Charneca,16.9717066153013
max_gap_60min,281,242,77.5641025641026,0.632435305456756,0.669201709441916,0.628039655972201,0.658502653379761,1057.31,1438.28,1.36032005750442,1.35576512455516,3.53740213523132,9.01121588598188,1.18979338842975,3.4153305785124,8.99857474940677,0.782918149466192,0.675531914893617,0.761565836298932,0.528169014084507,IPOJUCA,2025,260720801A,Centro,7.32836097674827,260290203A,Torrinha,17.5366564871593
max_gap_60min,0,0,0,,,,,,,,,,,,,,,,,,IPOJUCA,2025,260720801A,Centro,7.32836097674827,260290201G,Pirapama,18.807621519499
max_gap_60min,88,68,21.7948717948718,0.64211122618807,0.64051787945181,0.716576342875631,0.710535796635678,763.49,1084.53,1.42049011774876,3.64818181818182,8.38431818181818,15.2156053265897,2.52573529411765,7.62455882352941,13.8175764560087,0.829545454545455,0.8,0.75,0.661538461538462,IPOJUCA,2025,260720801A,Centro,7.32836097674827,261420401A,Centro,19.951784019321
max_gap_60min,116,99,31.7307692307692,0.850509203589317,0.740794176075173,0.852303696900695,0.711961346081188,984.73,1281.83,1.30170706691174,2.56120689655172,5.78827586206897,10.762428020505,2.79717171717172,5.95131313131313,11.2644102994315,0.853448275862069,0.824742268041237,0.75,0.650602409638554,IPOJUCA,2025,260290204A,Enseado dos Corais,14.1521806232538,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,15.7473789123554
max_gap_60min,122,101,32.3717948717949,0.80002565680542,0.837708967915318,0.825869093038743,0.815791502631238,957.55,1358.45,1.4186726541695,3.28606557377049,6.12049180327869,11.1970230235614,3.49316831683168,5.8660396039604,10.8795310123877,0.868852459016394,0.838383838383838,0.811475409836066,0.726190476190476,IPOJUCA,2025,260290204A,Enseado dos Corais,14.1521806232538,260290202A,Charneca,16.9717066153013
max_gap_60min,112,92,29.4871794871795,0.854742496745143,0.856072719457642,0.86246208086819,0.841887093026134,1016.77,1232.44,1.21211286721677,1.925625,5.53116071428571,10.5242069178632,2.06913043478261,5.52,10.9346983616774,0.883928571428571,0.861702127659575,0.830357142857143,0.759493670886076,IPOJUCA,2025,260290204A,Enseado dos Corais,14.1521806232538,260290203A,Torrinha,17.5366564871593
max_gap_60min,0,0,0,,,,,,,,,,,,,,,,,,IPOJUCA,2025,260290204A,Enseado dos Corais,14.1521806232538,260290201G,Pirapama,18.807621519499
max_gap_60min,58,44,14.1025641025641,0.725706582160953,0.720053031123714,0.745403576823956,0.673802004214921,632.87,766.55,1.21122821432522,2.3048275862069,8.65413793103448,13.6653768384897,2.51636363636364,8.85,14.2451701543812,0.896551724137931,0.890909090909091,0.775862068965517,0.74,IPOJUCA,2025,260290204A,Enseado dos Corais,14.1521806232538,261420401A,Centro,19.951784019321
max_gap_60min,244,213,68.2692307692308,0.856193699788969,0.835670409725755,0.857686695299471,0.830953444354873,1666.13,1810.25,1.08649985295265,0.590655737704918,3.83409836065574,7.63435735966571,0.304694835680751,3.82,7.61468626723103,0.831967213114754,0.783068783068783,0.836065573770492,0.736842105263158,IPOJUCA,2025,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,15.7473789123554,260290202A,Charneca,16.9717066153013
