estacao_historica,ano_alvo,data_local,cod_estacao,nome_estacao,municipios,distancia_km,precip_diaria_final_mm,n_registros_final,n_registros_00h_relocados,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao_final,flag_borda_2025
IPOJUCA,2025,2025-05-11,261420401A,Centro,SIRINHAÉM,19.951784019321,0,9,0,0,9,1000,FALSE,FALSE,FALSE,TRUE,25.2543333333333,TRUE,FALSE
IPOJUCA,2025,2025-05-12,261420401A,Centro,SIRINHAÉM,19.951784019321,0.2,1,0,0.2,1,1460,FALSE,FALSE,FALSE,TRUE,25.4384583333333,TRUE,FALSE
IPOJUCA,2025,2025-05-13,261420401A,Centro,SIRINHAÉM,19.951784019321,0.4,9,0,0.2,9,1460,FALSE,FALSE,FALSE,TRUE,21.3739166666667,TRUE,FALSE
IPOJUCA,2025,2025-05-14,261420401A,Centro,SIRINHAÉM,19.951784019321,2.16,8,0,0.98,8,1280,FALSE,FALSE,FALSE,TRUE,13.618,TRUE,FALSE
IPOJUCA,2025,2025-05-15,261420401A,Centro,SIRINHAÉM,19.951784019321,0.4,4,0,0.2,4,1290,FALSE,FALSE,FALSE,TRUE,7.27716666666667,TRUE,FALSE
IPOJUCA,2025,2025-05-16,261420401A,Centro,SIRINHAÉM,19.951784019321,0.42,1,0,0.42,1,1290,FALSE,FALSE,FALSE,TRUE,13.298125,TRUE,FALSE
IPOJUCA,2025,2025-05-17,261420401A,Centro,SIRINHAÉM,19.951784019321,7.27,15,0,1.57,15,1290,FALSE,FALSE,FALSE,TRUE,19.7396666666667,TRUE,FALSE
IPOJUCA,2025,2025-05-18,261420401A,Centro,SIRINHAÉM,19.951784019321,0,5,0,0,5,1140,FALSE,FALSE,FALSE,TRUE,11.99925,TRUE,FALSE
IPOJUCA,2025,2025-05-19,261420401A,Centro,SIRINHAÉM,19.951784019321,7.49,10,0,4.53,10,1140,FALSE,FALSE,FALSE,TRUE,16.618625,TRUE,FALSE
IPOJUCA,2025,2025-05-20,261420401A,Centro,SIRINHAÉM,19.951784019321,4.73,8,0,2.17,8,1280,FALSE,FALSE,FALSE,TRUE,19.2211666666667,TRUE,FALSE
IPOJUCA,2025,2025-05-21,261420401A,Centro,SIRINHAÉM,19.951784019321,1.38,17,1,0.79,16,1280,FALSE,FALSE,FALSE,TRUE,15.0582083333333,TRUE,FALSE
IPOJUCA,2025,2025-05-22,261420401A,Centro,SIRINHAÉM,19.951784019321,3.74,27,1,2.95,27,60,TRUE,TRUE,TRUE,TRUE,19.581875,TRUE,FALSE
IPOJUCA,2025,2025-05-23,261420401A,Centro,SIRINHAÉM,19.951784019321,10.12,33,0,2.78,34,200,FALSE,FALSE,FALSE,TRUE,13.92125,TRUE,FALSE
IPOJUCA,2025,2025-05-24,261420401A,Centro,SIRINHAÉM,19.951784019321,31.33,44,0,6.1,44,200,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-05-25,261420401A,Centro,SIRINHAÉM,19.951784019321,9.52,34,1,3.78,33,60,TRUE,TRUE,TRUE,TRUE,17.100619047619,TRUE,FALSE
IPOJUCA,2025,2025-05-26,261420401A,Centro,SIRINHAÉM,19.951784019321,3.76,32,1,1.18,32,60,TRUE,TRUE,TRUE,TRUE,17.39,TRUE,FALSE
IPOJUCA,2025,2025-05-27,261420401A,Centro,SIRINHAÉM,19.951784019321,20.95,46,1,4.33,46,60,TRUE,TRUE,TRUE,TRUE,13.3237916666667,TRUE,FALSE
IPOJUCA,2025,2025-05-28,261420401A,Centro,SIRINHAÉM,19.951784019321,5.91,28,1,4.92,28,60,TRUE,TRUE,TRUE,TRUE,21.332125,TRUE,FALSE
IPOJUCA,2025,2025-05-29,261420401A,Centro,SIRINHAÉM,19.951784019321,3.73,26,1,2.36,26,80,FALSE,FALSE,TRUE,TRUE,30.3170416666667,TRUE,FALSE
IPOJUCA,2025,2025-05-30,261420401A,Centro,SIRINHAÉM,19.951784019321,13.43,36,1,3.94,36,60,TRUE,TRUE,TRUE,TRUE,21.5834761904762,TRUE,FALSE
IPOJUCA,2025,2025-05-31,261420401A,Centro,SIRINHAÉM,19.951784019321,0.4,25,1,0.2,25,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
