estacao_historica,ano_alvo,data_local,cod_estacao,nome_estacao,municipios,distancia_km,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,precip_diaria_mm,precip_diaria_mm_sens_midnight,n_registros_validos,n_registros_chuva,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao,diferenca_midnight_mm
CUPE,2021,2021-02-04,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,20.14625,TRUE,0
CUPE,2021,2021-02-05,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,17.824347826087,TRUE,0
CUPE,2021,2021-02-06,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,10.3966666666667,TRUE,0
CUPE,2021,2021-02-07,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,14.5414285714286,TRUE,0
CUPE,2021,2021-02-08,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,18.0195,TRUE,0
CUPE,2021,2021-02-09,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,21.259,TRUE,0
CUPE,2021,2021-02-10,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,1.8,1.8,26,4,1,26,70,FALSE,TRUE,TRUE,TRUE,21.2265,TRUE,0
CUPE,2021,2021-02-11,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,12.4495652173913,TRUE,0
CUPE,2021,2021-02-12,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.6,0.6,25,2,0.4,25,60,TRUE,TRUE,TRUE,TRUE,9.27352941176471,TRUE,0
CUPE,2021,2021-02-13,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,2.4,2.4,31,8,0.8,31,60,TRUE,TRUE,TRUE,TRUE,10.8,TRUE,0
CUPE,2021,2021-02-14,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,1.8,1.8,27,3,1,27,60,TRUE,TRUE,TRUE,TRUE,8.15833333333333,TRUE,0
CUPE,2021,2021-02-15,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,30.4,30.4,43,24,9,43,70,FALSE,TRUE,TRUE,TRUE,5.2952380952381,TRUE,-7.105427357601e-15
CUPE,2021,2021-02-16,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.2,0.2,25,1,0.2,25,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-02-17,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-02-18,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-02-19,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-02-20,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-02-21,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-02-22,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-02-23,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-02-24,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-02-25,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,7.8,7.8,32,10,1.6,32,60,TRUE,TRUE,TRUE,FALSE,,TRUE,-8.88178419700125e-16
CUPE,2021,2021-02-26,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,3.4,3.4,26,4,1.6,26,70,FALSE,TRUE,TRUE,TRUE,7.098,TRUE,4.44089209850063e-16
CUPE,2021,2021-02-27,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,8.76695652173913,TRUE,0
CUPE,2021,2021-02-28,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,29.6,29.6,50,32,4.6,50,60,TRUE,TRUE,TRUE,TRUE,6.6652380952381,TRUE,-1.06581410364015e-14
CUPE,2021,2021-03-01,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,64,64.2,71,58,5.4,71,60,TRUE,TRUE,TRUE,TRUE,21.3954166666667,TRUE,0.200000000000003
CUPE,2021,2021-03-02,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,8.6,8.4,29,10,6.2,29,70,FALSE,TRUE,TRUE,TRUE,24.4327272727273,TRUE,-0.199999999999999
CUPE,2021,2021-03-03,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,1.8,1.8,28,6,0.6,28,60,TRUE,TRUE,TRUE,TRUE,27.2152941176471,TRUE,0
CUPE,2021,2021-03-04,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,2.2,2.2,30,6,0.8,30,60,TRUE,TRUE,TRUE,TRUE,24.5291666666667,TRUE,0
CUPE,2021,2021-03-05,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.6,0.6,26,2,0.4,26,60,TRUE,TRUE,TRUE,TRUE,32.67125,TRUE,0
CUPE,2021,2021-03-06,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,30.1041666666667,TRUE,0
CUPE,2021,2021-03-07,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,31.9483333333333,TRUE,0
CUPE,2021,2021-03-08,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,28.6127272727273,TRUE,0
CUPE,2021,2021-03-09,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,22.6058333333333,TRUE,0
CUPE,2021,2021-03-10,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-03-11,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.2,0.2,25,1,0.2,25,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-03-12,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,9.46625,TRUE,0
CUPE,2021,2021-03-13,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,7,7,25,2,4.4,25,60,TRUE,TRUE,TRUE,TRUE,13.4904166666667,TRUE,0
CUPE,2021,2021-03-14,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,12.085,TRUE,0
CUPE,2021,2021-03-15,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,12.4020833333333,TRUE,0
CUPE,2021,2021-03-16,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,2.8,2.8,26,3,1.4,26,70,FALSE,TRUE,TRUE,TRUE,11.4341666666667,TRUE,0
CUPE,2021,2021-03-17,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,10.0645833333333,TRUE,0
CUPE,2021,2021-03-18,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,1.6,1.6,26,3,0.8,26,70,FALSE,TRUE,TRUE,TRUE,9.25416666666667,TRUE,-2.22044604925031e-16
CUPE,2021,2021-03-19,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,7.4,7.4,28,5,4,28,70,FALSE,TRUE,TRUE,TRUE,11.3095652173913,TRUE,0
CUPE,2021,2021-03-20,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,5.4,5.4,29,6,1.8,29,60,TRUE,TRUE,TRUE,TRUE,9.56173913043478,TRUE,0
CUPE,2021,2021-03-21,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,8.32695652173913,TRUE,0
CUPE,2021,2021-03-22,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.2,0.2,24,1,0.2,24,60,TRUE,TRUE,TRUE,TRUE,11.1725,TRUE,0
CUPE,2021,2021-03-23,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.2,0.2,25,1,0.2,25,70,FALSE,TRUE,TRUE,TRUE,7.17416666666667,TRUE,0
