criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,media_a_mm,media_b_mm,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,mediana_abs_diff_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,estacao_historica,ano_alvo,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,63,61,17.5792507204611,0.92983233864884,0.914399794856653,0.929575468028898,0.910344075532047,7.22063492063492,6.28634920634921,454.9,396.04,0.87060892503847,-0.934285714285714,2.55206349206349,5.28291255647536,0.609999999999999,-0.794098360655737,2.46491803278689,5.28389355944468,0.888888888888889,0.847826086956522,0.936507936507937,0.894736842105263,CUPE,2021,260720801A,Centro,2.31199229299342,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155
max_gap_60min,173,166,47.8386167146974,0.872551308687091,0.806389707660857,0.875815882504846,0.803915421580196,7.92277456647399,7.70439306358382,1370.64,1332.86,0.97243623416798,-0.218381502890173,4.65132947976879,9.75184920954894,1.38,0.00662650602409642,4.61325301204819,9.79545308828638,0.76878612716763,0.705882352941177,0.815028901734104,0.695238095238095,CUPE,2021,260720801A,Centro,2.31199229299342,260290202A,Charneca,11.2832131026728
max_gap_60min,258,245,70.6051873198847,0.846288706217214,0.70824137519606,0.848625825382395,0.710963278099711,6.25608527131783,6.31143410852713,1614.07,1628.35,1.00884719993557,0.0553488372093023,4.28108527131783,10.0406856061656,0.9,0.147959183673469,4.34624489795918,10.1932169322825,0.75968992248062,0.651685393258427,0.798449612403101,0.623188405797102,CUPE,2021,260720801A,Centro,2.31199229299342,260290204A,Enseado dos Corais,12.1770872579976
max_gap_60min,302,286,82.4207492795389,0.87149845735034,0.787054426425717,0.873378235408328,0.781860981273822,6.43384105960265,6.3412582781457,1943.02,1915.06,0.985610029747506,-0.0925827814569536,3.51721854304636,8.78109000761604,0.98,-0.0162237762237762,3.57489510489511,8.91966116199238,0.811258278145695,0.736111111111111,0.821192052980132,0.682352941176471,CUPE,2021,260720801A,Centro,2.31199229299342,260290203A,Torrinha,12.3419267993948
max_gap_60min,107,96,27.6657060518732,0.924887366359379,0.673178275290643,0.924134271830806,0.688900721129083,6.54831775700935,7.7214953271028,700.67,826.2,1.17915709249718,1.17317757009346,3.98719626168224,8.45021799198988,1.02,1.3421875,4.37197916666667,8.90727190043806,0.719626168224299,0.62962962962963,0.747663551401869,0.564516129032258,CUPE,2021,260720801A,Centro,2.31199229299342,260290201G,Pirapama,13.0597386932039
max_gap_60min,265,252,72.6224783861672,0.31941879174896,0.139701507996394,0.322188847178766,0.172926360069475,6.20301886792453,1.60667924528302,1643.8,425.77,0.259015695340066,-4.59633962264151,5.81,16.6418835223003,0.99,-4.68829365079365,5.87702380952381,16.9679530221505,0.460377358490566,0.168604651162791,0.569811320754717,0.155555555555556,CUPE,2021,260720801A,Centro,2.31199229299342,260720802A,Camela,15.3107152412702
max_gap_60min,306,290,83.5734870317003,0.870144735213316,0.727920029623673,0.872848850825058,0.72458281630541,6.33392156862745,5.87552287581699,1938.18,1797.91,0.927627980889288,-0.458398692810458,3.75395424836601,8.80599456030257,1.18,-0.44551724137931,3.81420689655172,8.93871540566363,0.77124183006536,0.680365296803653,0.797385620915033,0.647727272727273,CUPE,2021,260720801A,Centro,2.31199229299342,260290205A,Pontes dos Carvalhos,19.6094816469432
max_gap_60min,55,53,15.2737752161383,0.924315088739662,0.926487295290148,0.926506067115304,0.923816166464482,6.01490909090909,5.88618181818182,330.82,323.74,0.978598633698084,-0.128727272727273,2.14145454545455,3.67010676089452,0.81,-0.139056603773585,2.06735849056604,3.65257340142949,0.909090909090909,0.878048780487805,0.909090909090909,0.848484848484848,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155
max_gap_60min,166,160,46.1095100864553,0.877816130845677,0.818131575866757,0.878907814857861,0.817446135402711,6.67656626506024,7.47506024096386,1108.31,1240.86,1.11959650278352,0.798493975903615,3.86427710843374,8.61835827739775,0.975,0.9379375,3.8996875,8.73152431566219,0.759036144578313,0.689922480620155,0.837349397590361,0.721649484536083,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260290202A,Charneca,11.2832131026728
max_gap_60min,251,237,68.299711815562,0.846535373920285,0.655621971378868,0.847807460852782,0.660839724389359,5.18051792828685,6.36737051792829,1300.31,1598.21,1.22909921480262,1.18685258964143,4.10820717131474,9.15539241969265,0.62,1.3104641350211,4.22261603375527,9.36643797489487,0.749003984063745,0.625,0.804780876494024,0.6171875,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260290204A,Enseado dos Corais,12.1770872579976
max_gap_60min,287,271,78.0979827089337,0.846944661519621,0.676766561813565,0.847390772401658,0.674855253074398,5.14,6.18641114982578,1475.18,1775.5,1.20358193576377,1.04641114982578,3.46250871080139,9.07104667636971,0.79,1.18745387453875,3.58767527675277,9.30503514054566,0.745644599303136,0.640394088669951,0.794425087108014,0.621794871794872,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260290203A,Torrinha,12.3419267993948
max_gap_60min,106,94,27.0893371757925,0.923305565865645,0.665905764778994,0.922629147919881,0.698307024881367,5.33745283018868,6.99245283018868,565.77,741.2,1.31007299786132,1.655,3.2327358490566,7.63338935328652,0.6,1.91223404255319,3.56117021276596,8.08955939941081,0.688679245283019,0.576923076923077,0.783018867924528,0.581818181818182,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260290201G,Pirapama,13.0597386932039
max_gap_60min,258,245,70.6051873198847,0.329812164901886,0.225901123512927,0.331211307263018,0.245780611213972,4.95306201550388,1.695,1277.89,437.31,0.34221255350617,-3.25806201550388,4.66643410852713,14.7806375543015,0.4,-3.37195918367347,4.76844897959184,15.1233314141172,0.550387596899225,0.2,0.655038759689923,0.205357142857143,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260720802A,Camela,15.3107152412702
max_gap_60min,293,277,79.8270893371758,0.849974432517084,0.640222211471841,0.850180143914065,0.637079952881169,5.14054607508532,5.80631399317406,1506.18,1701.25,1.1295130728067,0.665767918088737,3.69443686006826,8.30271161347416,0.98,0.754693140794224,3.83592057761733,8.51652666019373,0.73037542662116,0.616504854368932,0.791808873720137,0.61875,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260290205A,Pontes dos Carvalhos,19.6094816469432
max_gap_60min,40,38,10.9510086455331,0.806594127726142,0.81827837478993,0.815633683881805,0.814789057042362,7.9685,8.949,318.74,357.96,1.12304699755286,0.9805,6.093,15.477153646585,1.915,1.46421052631579,5.98157894736842,15.7335899473572,0.75,0.705882352941177,0.75,0.655172413793103,CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155,260290202A,Charneca,11.2832131026728
