criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,media_a_mm,media_b_mm,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,mediana_abs_diff_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,estacao_historica,ano_alvo,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_70min,332,250,90.9090909090909,0.961617102025384,0.911779906478623,0.962465801613185,0.926238061811549,4.48602409638554,4.32822289156626,1489.36,1436.97,0.964823816941505,-0.157801204819277,1.28286144578313,2.93351566497036,0.27,-0.11068,1.40044,3.09724671280801,0.885542168674699,0.825688073394496,0.894578313253012,0.785276073619632,IFPE,2018,260720801A,Centro,2.94037517011968,260720804A,Rurópolis,4.23417961072742
max_gap_90min,346,261,94.9090909090909,0.968267659110065,0.912542177252735,0.969888285149772,0.924913664210053,4.81580924855491,4.72945086705202,1666.27,1636.39,0.982067732120245,-0.0863583815028902,1.34179190751445,2.97649627209635,0.39,-0.0152107279693487,1.48379310344828,3.15978859809867,0.88728323699422,0.831168831168831,0.88728323699422,0.775862068965517,IFPE,2018,260720801A,Centro,2.94037517011968,260720804A,Rurópolis,4.23417961072742
max_gap_60min,199,172,52.2796352583587,0.959730866136065,0.798340276388615,0.953393737887314,0.778721197119193,4.80301507537689,4.94929648241206,955.8,984.91,1.03045616237707,0.146281407035176,2.23743718592965,5.37618763319666,0.35,0.148313953488372,2.28924418604651,5.533940887305,0.849246231155779,0.758064516129032,0.814070351758794,0.584269662921348,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_60min,205,178,54.1033434650456,0.975526950707111,0.903763281499228,0.975759615902563,0.892557786529329,4.63414634146341,5.66624390243903,950,1161.58,1.22271578947368,1.03209756097561,1.64936585365854,4.41043043084979,0.2,0.978820224719101,1.49365168539326,4.04208263429533,0.917073170731707,0.862903225806452,0.868292682926829,0.7,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_60min,288,256,77.8115501519757,0.975606840814756,0.821470764252019,0.969519900482227,0.803427573190827,5.34986111111111,6.39420138888889,1540.76,1841.53,1.1952088579662,1.04434027777778,1.77107638888889,4.16451765414275,0.405,0.9759375,1.734453125,4.13438534579204,0.822916666666667,0.735751295336788,0.871527777777778,0.751677852348993,IPOJUCA,2021,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
max_gap_70min,304,270,82.0668693009119,0.890939002210373,0.75514569393348,0.870446129842132,0.730550875639044,5.67565789473684,5.92430921052632,1725.4,1800.99,1.04381013098412,0.248651315789474,3.05430921052632,7.70093913018679,0.68,0.347185185185185,3.04844444444444,7.88673372752554,0.825657894736842,0.757990867579909,0.782894736842105,0.614035087719298,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_70min,301,268,81.4589665653496,0.925402824605147,0.877099393345778,0.909619449720036,0.866388244409114,5.378073089701,6.66950166112957,1618.8,2007.52,1.24012849023968,1.29142857142857,2.21800664451827,6.84501550102718,0.38,1.26787313432836,2.16294776119403,6.93335117977516,0.910299003322259,0.871428571428572,0.857142857142857,0.734567901234568,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_70min,308,274,83.2826747720365,0.975650775808443,0.836260364057382,0.971720017442375,0.818091528782427,5.73564935064935,6.78457792207792,1766.58,2089.65,1.18287878273274,1.04892857142857,1.80048701298701,4.17637274266968,0.550000000000001,0.933540145985401,1.71930656934307,4.03811624977728,0.831168831168831,0.755868544600939,0.876623376623377,0.771084337349398,IPOJUCA,2021,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
max_gap_90min,318,284,86.322188449848,0.87882932185421,0.712607279058107,0.855300048193777,0.682407740920974,5.62389937106918,5.88088050314465,1788.4,1870.12,1.04569447550883,0.256981132075472,3.30276729559748,7.97181449954114,0.8,0.351654929577465,3.32693661971831,8.17382491446901,0.817610062893082,0.748917748917749,0.761006289308176,0.582417582417583,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_90min,323,290,88.145896656535,0.91868827014852,0.873807755704626,0.901669454799684,0.863532640158057,5.53622291021672,6.89160990712074,1788.2,2225.99,1.24482160832122,1.35538699690402,2.31068111455108,7.01955880966553,0.380000000000001,1.34089655172414,2.27034482758621,7.11859323568726,0.913312693498452,0.877729257641921,0.854489164086687,0.735955056179775,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_90min,318,284,86.322188449848,0.975365328776281,0.840238326347621,0.971456958774689,0.82342046919486,5.89830188679245,6.98009433962264,1875.66,2219.67,1.18340744058092,1.08179245283019,1.8501572327044,4.17995452263787,0.59,0.974401408450704,1.77778169014085,4.04720721826862,0.833333333333333,0.762331838565022,0.877358490566038,0.778409090909091,IPOJUCA,2021,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
max_gap_60min,247,212,67.948717948718,0.951225267462596,0.678606081254402,0.957296417174812,0.643307000118558,3.217004048583,3.74004048582996,794.6,923.79,1.16258494840171,0.523036437246963,1.83647773279352,5.3181671297011,0.2,0.458349056603773,1.73193396226415,5.26348093981289,0.748987854251012,0.550724637681159,0.846153846153846,0.573033707865169,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_60min,252,217,69.5512820512821,0.633034062836836,0.678645848476234,0.661734920052569,0.691447711909447,2.98174603174603,2.29297619047619,751.4,577.83,0.769004524886878,-0.688769841269841,2.19797619047619,6.97126753408202,0.2,-0.44258064516129,2.05216589861751,6.88945270143758,0.777777777777778,0.608391608391608,0.821428571428571,0.49438202247191,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_60min,307,264,84.6153846153846,0.522228068247494,0.409735923830391,0.544514444556588,0.402394686256256,4.28058631921824,3.58149837133551,1314.14,1099.52,0.836684067146575,-0.699087947882736,4.26351791530945,10.9043115520171,0.59,-0.485833333333333,4.13045454545455,10.8687067475223,0.671009771986971,0.468421052631579,0.719869706840391,0.367647058823529,IPOJUCA,2025,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
max_gap_70min,344,297,95.1923076923077,0.926176499063775,0.73850844466636,0.930852821975032,0.714295356055324,5.20755813953488,5.69889534883721,1791.4,1960.42,1.09435078709389,0.491337209302326,2.8046511627907,6.13655497626675,0.555,0.409124579124579,2.7143771043771,6.09875593098493,0.75,0.630901287553648,0.813953488372093,0.632183908045977,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_70min,337,290,92.9487179487179,0.750684946327445,0.722092625821316,0.762323256391695,0.728602050386919,4.33471810089021,3.8486350148368,1460.8,1296.99,0.887862814895948,-0.486083086053412,2.66857566765579,6.85482552204543,0.4,-0.431620689655172,2.56072413793103,6.80701856352235,0.783382789317507,0.6784140969163,0.804154302670623,0.5875,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_70min,326,281,90.0641025641026,0.511273238725911,0.439407417974108,0.519136653261221,0.430162278238231,4.52030674846626,3.79763803680982,1473.62,1238.03,0.840128391308478,-0.722668711656442,4.49592024539877,11.0782786281066,0.6,-0.584270462633452,4.38526690391459,11.0930157566152,0.684049079754601,0.502415458937198,0.714723926380368,0.392156862745098,IPOJUCA,2025,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
max_gap_90min,352,303,97.1153846153846,0.926266192354424,0.741314448442549,0.930913846012965,0.716944956230696,5.14488636363636,5.63556818181818,1811,1983.72,1.0953727222529,0.490681818181818,2.77193181818182,6.07522189082237,0.525,0.405709570957096,2.68782178217822,6.04665243011049,0.752840909090909,0.635983263598326,0.815340909090909,0.632768361581921,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_90min,346,298,95.5128205128205,0.712183622020346,0.728280801756172,0.717627882644601,0.733491013516179,4.55780346820809,3.94473988439306,1577,1364.88,0.865491439441979,-0.613063583815029,2.83895953757225,7.53757186336394,0.41,-0.603959731543624,2.74859060402685,7.60118822396258,0.786127167630058,0.685106382978723,0.80635838150289,0.598802395209581,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_90min,342,294,94.2307692307692,0.494193498970992,0.457753234780921,0.491274254451085,0.444081272758018,4.87263157894737,3.88017543859649,1666.44,1327.02,0.79632029956074,-0.992456140350877,4.63783625730994,11.7428135544868,0.6,-0.870612244897959,4.55333333333333,11.8891843892749,0.68421052631579,0.51131221719457,0.722222222222222,0.41358024691358,IPOJUCA,2025,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
