fonte_dados,cod_estacao,nome_estacao,municipios,tipo_estacao,latitude,longitude,distancia_gaibu_km,faixa_distancia,tipo_regra_anual,criterio_primario_anual,elegivel_pareamento_primario_anual,n_dias_calendario,n_dias_com_valor,n_dias_primario,n_dias_sens_1,n_dias_sens_2,n_dias_convencional,prop_dias_primario,prop_dias_sens_1,prop_dias_sens_2,n_dias_mp10_validos,n_dias_precip_com_valor,n_overlap_primario,n_overlap_sens_1,n_overlap_sens_2,n_overlap_convencional,tipo_regra_mp10,criterio_primario_mp10,elegivel_pareamento_primario_mp10,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,pct_overlap_convencional,estacao_historica,ano_alvo
CEMADEN,260720802A,Camela,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,-8.511,-35.122,27.2363489992819,>20-30 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,95,68,71,73,0,0.186301369863014,0.194520547945205,0.2,262,91,65,68,70,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,34.7328244274809,24.8091603053435,25.9541984732824,26.7175572519084,0,Gaibu,2019
CEMADEN,260790103G,Curado II,JABOATÃO DOS GUARARAPES,PLUVIOMETRICA_AUTOMATICA,-8.0820995,-35.002837,27.9269762815399,>20-30 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,93,38,49,58,0,0.104109589041096,0.134246575342466,0.158904109589041,262,36,21,25,28,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,13.7404580152672,8.01526717557252,9.54198473282443,10.6870229007634,0,Gaibu,2019
CEMADEN,261160608G,Manassu,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.08619,-35.028697,28.1496960662577,>20-30 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,92,34,40,46,0,0.0931506849315068,0.10958904109589,0.126027397260274,262,36,20,21,24,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,13.7404580152672,7.63358778625954,8.01526717557252,9.16030534351145,0,Gaibu,2019
CEMADEN,260790105G,Manassu,JABOATÃO DOS GUARARAPES,PLUVIOMETRICA_AUTOMATICA,-8.08619,-35.028697,28.1496960662577,>20-30 km,,,,,,,,,,,,,262,0,0,0,0,0,,,FALSE,0,0,0,0,0,Gaibu,2019
CEMADEN,260940202A,Centro,MORENO,PLUVIOMETRICA_AUTOMATICA,-8.118,-35.101,28.3555635505803,>20-30 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,356,304,314,318,0,0.832876712328767,0.86027397260274,0.871232876712329,262,253,210,219,223,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,96.5648854961832,80.1526717557252,83.587786259542,85.1145038167939,0,Gaibu,2019
CEMADEN,260790108A,Curado 4 | CuradoII,JABOATÃO DOS GUARARAPES,PLUVIOMETRICA_AUTOMATICA,-8.075525,-34.99546,28.5119596928631,>20-30 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,351,276,290,296,0,0.756164383561644,0.794520547945206,0.810958904109589,262,251,199,211,214,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,95.8015267175572,75.9541984732825,80.5343511450382,81.6793893129771,0,Gaibu,2019
CEMADEN,261160619A,San Martin,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.073,-34.925,28.6726268905999,>20-30 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,292,242,250,254,0,0.663013698630137,0.684931506849315,0.695890410958904,262,223,183,191,194,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,85.1145038167939,69.8473282442748,72.9007633587786,74.0458015267176,0,Gaibu,2019
CEMADEN,261160622A,Boa Vista,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.069,-34.891,29.7895573639268,>20-30 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,362,324,331,331,0,0.887671232876712,0.906849315068493,0.906849315068493,262,259,231,237,237,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,98.8549618320611,88.1679389312977,90.4580152671756,90.4580152671756,0,Gaibu,2019
INMET,A301,RECIFE,"",AUTOMATICA,-8.05916666,-34.95916666,30.0048785608036,>30-50 km,INMET_AUTOMATICA,INMET_AUTO_24H,TRUE,365,365,360,365,365,0,0.986301369863014,1,1,262,262,258,262,262,0,INMET_AUTOMATICA,INMET_AUTO_24H,TRUE,100,98.4732824427481,100,100,0,Gaibu,2019
INMET,82900,RECIFE (CURADO),"",CONVENCIONAL,-8.05916666,-34.95916666,30.0048785608036,>30-50 km,INMET_CONVENCIONAL,INMET_CONV_24H_PENDENTE_ALINHAMENTO,FALSE,365,335,0,0,0,335,0,0,0,262,237,0,0,0,237,INMET_CONVENCIONAL,INMET_CONV_24H_PENDENTE_ALINHAMENTO,FALSE,90.4580152671756,0,0,0,90.4580152671756,Gaibu,2019
