data_local,cod_estacao,nome_estacao,municipios,latitude,longitude,distancia_gaibu_km,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,precip_diaria_mm,n_registros_validos,n_registros_00h_relocados,n_registros_chuva,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao
2019-03-10,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-11,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-12,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.2,25,1,1,0.2,25,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-13,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,3.74,27,1,5,1.57,27,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-14,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.2,25,1,1,0.2,25,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-15,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-16,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-17,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.98,26,1,2,0.59,26,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-18,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,20.8,33,1,11,10.57,33,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-19,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-20,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-21,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-22,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-23,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-24,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,23,1,0,0,23,120,FALSE,FALSE,FALSE,FALSE,,TRUE
2019-03-25,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-26,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,14.97,36,1,16,3.74,36,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-27,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,15.01,36,1,15,6.13,36,70,FALSE,TRUE,TRUE,TRUE,21,TRUE
2019-03-28,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.39,25,1,1,0.39,25,60,TRUE,TRUE,TRUE,TRUE,40.6521739130435,TRUE
2019-03-29,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,19.47,41,1,19,4.92,41,60,TRUE,TRUE,TRUE,TRUE,21.5555555555556,TRUE
2019-03-30,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,30.72,43,1,24,5.71,43,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-03-31,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,7.88,36,1,15,2.17,36,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-04-01,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE
2019-04-02,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,42.375,TRUE
2019-04-03,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,17.39,30,1,8,6.9,30,60,TRUE,TRUE,TRUE,TRUE,53.2222222222222,TRUE
2019-04-04,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.2,25,1,1,0.2,25,60,TRUE,TRUE,TRUE,TRUE,51.3684210526316,TRUE
2019-04-05,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,10.44,27,1,4,5.12,27,60,TRUE,TRUE,TRUE,TRUE,55.5416666666667,TRUE
2019-04-06,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,70.7916666666667,TRUE
2019-04-07,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,8.67,29,1,6,5.71,29,60,TRUE,TRUE,TRUE,TRUE,44.2631578947368,TRUE
2019-04-08,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,1.58,27,1,3,0.79,27,60,TRUE,TRUE,TRUE,TRUE,37.5833333333333,TRUE
