criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,117,85,32.4427480916031,0.924766855005717,0.900430277305594,0.924638306099688,0.917861954003772,583.72,622.6,1.0666072774618,0.332307692307692,2.11333333333333,6.06652704826661,0.571529411764706,2.67858823529412,7.03633845288367,0.88034188034188,0.794117647058824,0.931623931623932,0.849056603773585,260790109A,Barra de Jangada,12.4106755442896,260790110A,Cajueiro Seco,18.17024712476
max_gap_60min,224,164,62.5954198473283,0.861417359249525,0.798853778327201,0.753439333517749,0.787034684045442,899.83,924.35,1.02724959158952,0.109464285714286,2.10892857142857,4.4956444198802,0.479268292682927,1.98865853658537,4.41185293742475,0.772321428571429,0.666666666666667,0.879464285714286,0.737864077669903,260790109A,Barra de Jangada,12.4106755442896,260790101A,Muribeca,19.1679603398448
max_gap_60min,20,10,3.81679389312977,-0.0899842541331695,-0.0960916767552923,,,0.8,0.2,0.25,-0.03,0.05,0.118321595661992,-0.04,0.04,0.0894427190999916,0.8,0,1,,260290201G,Pirapama,13.0179995725833,260720801G,Campo do Avião,13.699863829626
max_gap_60min,1,0,0,,,,,0,0,,0,0,0,,,,1,,1,,260290201G,Pirapama,13.0179995725833,260720801A,Centro,14.2386959438181
max_gap_60min,24,10,3.81679389312977,0.865832514252036,0.560174729503931,0.873310807441597,0.74535599249993,7.6,7.11,0.935526315789474,-0.0204166666666667,0.25125,0.670804864820364,-0.088,0.442,1.00774004584516,0.833333333333333,0.428571428571429,0.916666666666667,0.333333333333333,260290201G,Pirapama,13.0179995725833,260720804A,Rurópolis,15.4798425489309
max_gap_60min,24,9,3.43511450381679,0.89724117721144,0.586683169778137,,,19.6,34.5,1.76020408163265,0.620833333333333,1.055,3.0411839799657,-0.556666666666667,0.556666666666667,1.67,0.791666666666667,0.444444444444444,0.833333333333333,0.333333333333333,260290201G,Pirapama,13.0179995725833,260790104A,Prazeres,15.6817706880758
max_gap_60min,24,10,3.81679389312977,0.890501777136235,0.693183691213278,0.99944767397507,0.74535599249993,19.8,20.8,1.05050505050505,0.0416666666666667,0.575,1.60052074858987,-0.6,0.6,1.83521115951271,0.875,0.571428571428571,0.958333333333333,0.666666666666667,260290201G,Pirapama,13.0179995725833,260790110A,Cajueiro Seco,18.17024712476
max_gap_60min,24,10,3.81679389312977,0.569490468135845,0.434596339100405,1,1,7.6,5.6,0.736842105263158,-0.0833333333333333,0.35,1.00616847495834,-0.46,0.46,1.45464772367745,0.791666666666667,0.285714285714286,0.958333333333333,0.666666666666667,260290201G,Pirapama,13.0179995725833,260790101A,Muribeca,19.1679603398448
max_gap_60min,1,0,0,,,,,0,0,,0,0,0,,,,1,,1,,260720801G,Campo do Avião,13.699863829626,260720801A,Centro,14.2386959438181
max_gap_60min,38,17,6.48854961832061,0.973252165032588,0.523707159707111,,,6.8,3.56,0.523529411764706,-0.0852631578947369,0.0957894736842105,0.294377130118564,0,0,0,0.894736842105263,0.333333333333333,1,1,260720801G,Campo do Avião,13.699863829626,260720804A,Rurópolis,15.4798425489309
max_gap_60min,39,14,5.34351145038168,0.291426627995457,0.185408918088067,,,0.8,2.77,3.4625,0.0505128205128205,0.0812820512820513,0.25682978499687,-0.0142857142857143,0.0142857142857143,0.0534522483824849,0.846153846153846,0.142857142857143,0.948717948717949,0,260720801G,Campo do Avião,13.699863829626,260790104A,Prazeres,15.6817706880758
max_gap_60min,33,15,5.72519083969466,0.156040202869059,0.442993859537368,,,3.8,1.2,0.315789473684211,-0.0787878787878788,0.127272727272727,0.370094173109625,-0.0533333333333333,0.0533333333333333,0.206559111797729,0.878787878787879,0.333333333333333,0.96969696969697,0,260720801G,Campo do Avião,13.699863829626,260790110A,Cajueiro Seco,18.17024712476
max_gap_60min,27,14,5.34351145038168,-0.0922033562890752,-0.0997948715788673,,,0.4,1.21,3.025,0.03,0.0596296296296296,0.154500389547633,0.0142857142857143,0.0142857142857143,0.0534522483824849,0.814814814814815,0,1,,260720801G,Campo do Avião,13.699863829626,260790101A,Muribeca,19.1679603398448
max_gap_60min,172,140,53.4351145038168,0.933479068878721,0.666251576253669,0.887805708003816,0.601576280065605,805.57,1036.39,1.28653003463386,1.34197674418605,2.17697674418605,5.40301832097062,1.5585,2.19021428571429,5.6332523592377,0.738372093023256,0.615384615384615,0.790697674418605,0.581395348837209,260720801A,Centro,14.2386959438181,260720804A,Rurópolis,15.4798425489309
max_gap_60min,181,145,55.3435114503817,0.753809813771006,0.502475639817219,0.721183702498994,0.433674116853699,993.02,1305.11,1.31428370022759,1.72425414364641,5.38381215469613,10.5239108175159,2.13151724137931,4.82241379310345,9.51116538056992,0.674033149171271,0.569343065693431,0.69060773480663,0.490909090909091,260720801A,Centro,14.2386959438181,260790104A,Prazeres,15.6817706880758
max_gap_60min,61,59,22.5190839694656,0.862533802787969,0.204414473129808,0.880354818784539,0.219370467571978,302.42,606.8,2.00648105284042,4.98983606557377,6.90852459016393,11.830131299245,4.60983050847458,6.5935593220339,11.2651497992703,0.426229508196721,0.351851851851852,0.475409836065574,0.333333333333333,260720801A,Centro,14.2386959438181,260790110A,Cajueiro Seco,18.17024712476
max_gap_60min,162,126,48.0916030534351,0.479460690712,0.436380672273064,0.30923509267312,0.29628938182135,591.29,823.92,1.39342792876592,1.43598765432099,4.71092592592593,9.04371942903533,1.55412698412698,3.91936507936508,7.55466491015729,0.635802469135803,0.520325203252033,0.685185185185185,0.463157894736842,260720801A,Centro,14.2386959438181,260790101A,Muribeca,19.1679603398448
max_gap_60min,253,185,70.6106870229008,0.771915554874027,0.729166944948018,0.722313427283763,0.721078047525091,1249.65,1226.4,0.981394790541352,-0.091897233201581,3.64241106719368,8.44340655359251,0.0515675675675675,3.78345945945946,8.57922613532719,0.786561264822134,0.682352941176471,0.802371541501976,0.615384615384615,260720804A,Rurópolis,15.4798425489309,260790104A,Prazeres,15.6817706880758
max_gap_60min,122,92,35.1145038167939,0.850688437232318,0.682098642993771,0.859676871137628,0.643423359147023,524.46,616.4,1.17530412233535,0.753606557377049,3.41114754098361,8.04045213229973,0.83304347826087,4.04934782608696,8.76578266055997,0.778688524590164,0.6625,0.745901639344262,0.537313432835821,260720804A,Rurópolis,15.4798425489309,260790110A,Cajueiro Seco,18.17024712476
max_gap_60min,222,165,62.9770992366412,0.412664249062791,0.691888542339902,0.450407837316749,0.66266530528642,828.19,761.98,0.920054576848308,-0.298243243243243,3.57797297297297,8.58895023947724,-0.253454545454546,3.39478787878788,8.04193486442388,0.77027027027027,0.664473684210526,0.788288288288288,0.576576576576577,260720804A,Rurópolis,15.4798425489309,260790101A,Muribeca,19.1679603398448
max_gap_60min,125,93,35.4961832061069,0.962512053553589,0.864765774653029,0.962712045171247,0.893405668273153,735.41,649,0.882500917855346,-0.69128,2.03016,4.0029550084906,-0.629784946236559,2.39860215053763,4.43521380604998,0.856,0.775,0.856,0.735294117647059,260790104A,Prazeres,15.6817706880758,260790110A,Cajueiro Seco,18.17024712476
max_gap_60min,231,169,64.5038167938931,0.858214412223968,0.844207748175139,0.789722072723988,0.8404427072823,1002.43,966.87,0.964526201330766,-0.153939393939394,2.08207792207792,4.5698502822009,-0.0389940828402367,2.03059171597633,4.43923730055636,0.822510822510823,0.738853503184713,0.865800865800866,0.732758620689655,260790104A,Prazeres,15.6817706880758,260790101A,Muribeca,19.1679603398448
max_gap_60min,97,74,28.2442748091603,0.877265842204259,0.897332164255241,0.820785431785148,0.91961845625249,319.6,367.05,1.14846683354193,0.489175257731959,1.4520618556701,3.09863139060543,0.588108108108108,1.80189189189189,3.52914199816942,0.845360824742268,0.758064516129032,0.917525773195876,0.826086956521739,260790110A,Cajueiro Seco,18.17024712476,260790101A,Muribeca,19.1679603398448
max_gap_70min,127,90,34.3511450381679,0.825010529732936,0.852490626637333,0.843786633210959,0.849641945352207,583.46,787.32,1.34939841634388,1.6051968503937,3.2688188976378,10.6269211695254,1.38744444444444,3.37855555555556,9.25608586582663,0.818897637795276,0.729411764705882,0.897637795275591,0.779661016949153,260290204A,Enseado dos Corais,0.116707872718135,260290203A,Torrinha,9.64529855709911
max_gap_70min,132,93,35.4961832061069,0.8597797964923,0.842903699312304,0.845126954476687,0.82782112759066,583.24,763.74,1.30947808792264,1.36742424242424,3.00272727272727,7.42291813482835,1.04032258064516,3.33150537634409,7.10625417411288,0.840909090909091,0.752941176470588,0.856060606060606,0.703125,260290204A,Enseado dos Corais,0.116707872718135,260290205A,Pontes dos Carvalhos,10.9623055006057
max_gap_70min,130,97,37.0229007633588,0.805798421631463,0.848852102397836,0.817146963724725,0.836234583181297,614.48,796.61,1.29639695352168,1.401,3.35146153846154,10.0411526690454,1.27783505154639,3.34463917525773,9.06373281696452,0.853846153846154,0.779069767441861,0.869230769230769,0.738461538461539,260290204A,Enseado dos Corais,0.116707872718135,260290202A,Charneca,11.6373392821951
max_gap_70min,257,188,71.7557251908397,0.832443089741324,0.795919307656184,0.838157805561088,0.758573931662396,1222.33,1504.77,1.23106689682819,1.09898832684825,3.11112840466926,7.45119367346824,0.635851063829787,3.05446808510638,6.29259088134609,0.797665369649806,0.686746987951807,0.883268482490272,0.743589743589744,260290204A,Enseado dos Corais,0.116707872718135,260790109A,Barra de Jangada,12.4106755442896
max_gap_70min,26,10,3.81679389312977,0.897524026958814,0.656838272292729,0.884984650702101,0.74535599249993,22.09,20.2,0.914440923494794,-0.0726923076923078,0.596538461538462,1.87899625414127,0.54,0.58,1.77200451466694,0.846153846153846,0.5,0.923076923076923,0.333333333333333,260290204A,Enseado dos Corais,0.116707872718135,260290201G,Pirapama,13.0179995725833
max_gap_70min,44,15,5.72519083969466,0.699060243444885,0.697789053389763,0.91688441581593,1,23.48,25.2,1.0732538330494,0.0390909090909091,0.625909090909091,2.15495412311429,0.173333333333333,0.173333333333333,0.671317113342619,0.863636363636364,0.538461538461538,0.886363636363636,0.166666666666667,260290204A,Enseado dos Corais,0.116707872718135,260720801G,Campo do Avião,13.699863829626
max_gap_70min,190,153,58.3969465648855,0.598454865043935,0.500970988898452,0.600576227990242,0.400217631008743,1148.28,1157.37,1.00791618768941,0.047842105263158,5.63331578947368,11.8929039656781,-0.619607843137255,5.04901960784314,9.82896799082721,0.626315789473684,0.506944444444445,0.742105263157895,0.542056074766355,260290204A,Enseado dos Corais,0.116707872718135,260720801A,Centro,14.2386959438181
max_gap_70min,257,188,71.7557251908397,0.684851672857501,0.74285280264576,0.706772137667401,0.698409409059867,1178.84,1479.05,1.2546656034746,1.16813229571984,4.07677042801556,9.90506542187749,0.93031914893617,3.94468085106383,8.32873754832845,0.797665369649806,0.692307692307692,0.809338521400778,0.611111111111111,260290204A,Enseado dos Corais,0.116707872718135,260720804A,Rurópolis,15.4798425489309
max_gap_70min,272,196,74.8091603053435,0.774064836827143,0.762146807146246,0.78510828582966,0.751174758943068,1291.6,1559.77,1.20762620006194,0.985919117647059,3.56753676470588,8.46427746560248,0.708163265306122,3.42734693877551,7.67688200683968,0.790441176470588,0.686813186813187,0.830882352941176,0.664233576642336,260290204A,Enseado dos Corais,0.116707872718135,260790104A,Prazeres,15.6817706880758
max_gap_70min,124,92,35.1145038167939,0.814520627422754,0.831421002751576,0.787585266517233,0.813515375160269,579.33,712,1.22900592063245,1.06991935483871,3.45137096774194,9.44417447168427,0.988152173913043,4.11315217391304,10.2115345586977,0.830645161290323,0.730769230769231,0.846774193548387,0.688524590163934,260290204A,Enseado dos Corais,0.116707872718135,260790110A,Cajueiro Seco,18.17024712476
max_gap_70min,233,172,65.6488549618321,0.733879833791222,0.734990545291199,0.707995247824189,0.715364153534726,1038.64,1126.37,1.08446622506354,0.376523605150215,3.22828326180258,6.52058269730907,0.265116279069767,3.29302325581395,6.33675931408564,0.742489270386266,0.640718562874252,0.828326180257511,0.666666666666667,260290204A,Enseado dos Corais,0.116707872718135,260790101A,Muribeca,19.1679603398448
max_gap_70min,161,104,39.6946564885496,0.939170957169154,0.82831134368655,0.939483064723871,0.824593867111293,864.15,801.37,0.927350575710235,-0.389937888198758,2.59155279503106,5.77200827295887,-0.549711538461538,2.97605769230769,5.68364328239717,0.84472049689441,0.764150943396226,0.819875776397516,0.641975308641975,260290203A,Torrinha,9.64529855709911,260290205A,Pontes dos Carvalhos,10.9623055006057
