"id_linha_v1","ano","cod_estacao","no_estacao","dh_medicao","dh_arredondado","nu_concentracao","classe_concentracao","no_fonte_dados","st_situacao","cd_flag","ds_flag","st_situacao_iqar"
144130,2024,"14","IFPE","2024-07-07 02:00:00.000",2024-07-07 02:00:00,0,"zero","N/A","VA","V","Válido","VA"
144131,2024,"14","IFPE","2024-07-07 03:00:00.000",2024-07-07 03:00:00,0,"zero","N/A","VA","V","Válido","VA"
144132,2024,"14","IFPE","2024-07-07 04:00:00.000",2024-07-07 04:00:00,0,"zero","N/A","VA","V","Válido","VA"
144133,2024,"14","IFPE","2024-07-07 05:00:00.000",2024-07-07 05:00:00,0,"zero","N/A","VA","V","Válido","VA"
144134,2024,"14","IFPE","2024-07-07 06:00:00.000",2024-07-07 06:00:00,0,"zero","N/A","VA","V","Válido","VA"
144135,2024,"14","IFPE","2024-07-07 07:00:00.000",2024-07-07 07:00:00,0,"zero","N/A","VA","V","Válido","VA"
144136,2024,"14","IFPE","2024-07-07 08:00:00.000",2024-07-07 08:00:00,0,"zero","N/A","VA","V","Válido","VA"
144137,2024,"14","IFPE","2024-07-07 09:00:00.000",2024-07-07 09:00:00,0,"zero","N/A","VA","V","Válido","VA"
144138,2024,"14","IFPE","2024-07-07 10:00:00.000",2024-07-07 10:00:00,0,"zero","N/A","VA","V","Válido","VA"
144139,2024,"14","IFPE","2024-07-07 11:00:00.000",2024-07-07 11:00:00,0,"zero","N/A","VA","V","Válido","VA"
144140,2024,"14","IFPE","2024-07-07 12:00:00.000",2024-07-07 12:00:00,0,"zero","N/A","VA","V","Válido","VA"
144141,2024,"14","IFPE","2024-07-07 13:00:00.000",2024-07-07 13:00:00,0,"zero","N/A","VA","V","Válido","VA"
144142,2024,"14","IFPE","2024-07-07 14:00:00.000",2024-07-07 14:00:00,0,"zero","N/A","VA","V","Válido","VA"
144143,2024,"14","IFPE","2024-07-07 15:00:00.000",2024-07-07 15:00:00,0,"zero","N/A","VA","V","Válido","VA"
144144,2024,"14","IFPE","2024-07-07 16:00:00.000",2024-07-07 16:00:00,0,"zero","N/A","VA","V","Válido","VA"
144145,2024,"14","IFPE","2024-07-07 17:00:00.000",2024-07-07 17:00:00,0,"zero","N/A","VA","V","Válido","VA"
144146,2024,"14","IFPE","2024-07-07 18:00:00.000",2024-07-07 18:00:00,0,"zero","N/A","VA","V","Válido","VA"
144147,2024,"14","IFPE","2024-07-07 19:00:00.000",2024-07-07 19:00:00,0,"zero","N/A","VA","V","Válido","VA"
144148,2024,"14","IFPE","2024-07-07 20:00:00.000",2024-07-07 20:00:00,0,"zero","N/A","VA","V","Válido","VA"
144149,2024,"14","IFPE","2024-07-07 21:00:00.000",2024-07-07 21:00:00,0,"zero","N/A","VA","V","Válido","VA"
144150,2024,"14","IFPE","2024-07-07 22:00:00.000",2024-07-07 22:00:00,0,"zero","N/A","VA","V","Válido","VA"
144151,2024,"14","IFPE","2024-07-07 23:00:00.000",2024-07-07 23:00:00,0,"zero","N/A","VA","V","Válido","VA"
144152,2024,"14","IFPE","2024-07-08 00:00:00.000",2024-07-08,0,"zero","N/A","VA","V","Válido","VA"
144153,2024,"14","IFPE","2024-07-08 01:00:00.000",2024-07-08 01:00:00,0,"zero","N/A","VA","V","Válido","VA"
144154,2024,"14","IFPE","2024-07-08 02:00:00.000",2024-07-08 02:00:00,0,"zero","N/A","VA","V","Válido","VA"
144155,2024,"14","IFPE","2024-07-08 03:00:00.000",2024-07-08 03:00:00,0,"zero","N/A","VA","V","Válido","VA"
144156,2024,"14","IFPE","2024-07-08 04:00:00.000",2024-07-08 04:00:00,0,"zero","N/A","VA","V","Válido","VA"
144157,2024,"14","IFPE","2024-07-08 05:00:00.000",2024-07-08 05:00:00,0,"zero","N/A","VA","V","Válido","VA"
144158,2024,"14","IFPE","2024-07-08 06:00:00.000",2024-07-08 06:00:00,0,"zero","N/A","VA","V","Válido","VA"
144159,2024,"14","IFPE","2024-07-08 07:00:00.000",2024-07-08 07:00:00,0,"zero","N/A","VA","V","Válido","VA"
144160,2024,"14","IFPE","2024-07-08 08:00:00.000",2024-07-08 08:00:00,0,"zero","N/A","VA","V","Válido","VA"
144161,2024,"14","IFPE","2024-07-08 09:00:00.000",2024-07-08 09:00:00,0,"zero","N/A","VA","V","Válido","VA"
144162,2024,"14","IFPE","2024-07-08 10:00:00.000",2024-07-08 10:00:00,0,"zero","N/A","VA","V","Válido","VA"
144163,2024,"14","IFPE","2024-07-08 11:00:00.000",2024-07-08 11:00:00,0,"zero","N/A","VA","V","Válido","VA"
144164,2024,"14","IFPE","2024-07-08 12:00:00.000",2024-07-08 12:00:00,0,"zero","N/A","VA","V","Válido","VA"
144165,2024,"14","IFPE","2024-07-08 13:00:00.000",2024-07-08 13:00:00,0,"zero","N/A","VA","V","Válido","VA"
144166,2024,"14","IFPE","2024-07-08 14:00:00.000",2024-07-08 14:00:00,0,"zero","N/A","VA","V","Válido","VA"
144167,2024,"14","IFPE","2024-07-08 15:00:00.000",2024-07-08 15:00:00,0,"zero","N/A","VA","V","Válido","VA"
144168,2024,"14","IFPE","2024-07-08 16:00:00.000",2024-07-08 16:00:00,0,"zero","N/A","VA","V","Válido","VA"
144169,2024,"14","IFPE","2024-07-08 17:00:00.000",2024-07-08 17:00:00,0,"zero","N/A","VA","V","Válido","VA"
144170,2024,"14","IFPE","2024-07-08 18:00:00.000",2024-07-08 18:00:00,0,"zero","N/A","VA","V","Válido","VA"
144171,2024,"14","IFPE","2024-07-08 19:00:00.000",2024-07-08 19:00:00,0,"zero","N/A","VA","V","Válido","VA"
144172,2024,"14","IFPE","2024-07-08 20:00:00.000",2024-07-08 20:00:00,0,"zero","N/A","VA","V","Válido","VA"
144173,2024,"14","IFPE","2024-07-08 21:00:00.000",2024-07-08 21:00:00,0,"zero","N/A","VA","V","Válido","VA"
144174,2024,"14","IFPE","2024-07-08 22:00:00.000",2024-07-08 22:00:00,0,"zero","N/A","VA","V","Válido","VA"
144175,2024,"14","IFPE","2024-07-08 23:00:00.000",2024-07-08 23:00:00,0,"zero","N/A","VA","V","Válido","VA"
144176,2024,"14","IFPE","2024-07-09 00:00:00.000",2024-07-09,0,"zero","N/A","VA","V","Válido","VA"
144177,2024,"14","IFPE","2024-07-09 01:00:00.000",2024-07-09 01:00:00,0,"zero","N/A","VA","V","Válido","VA"
144178,2024,"14","IFPE","2024-07-09 02:00:00.000",2024-07-09 02:00:00,0,"zero","N/A","VA","V","Válido","VA"
144179,2024,"14","IFPE","2024-07-09 03:00:00.000",2024-07-09 03:00:00,0,"zero","N/A","VA","V","Válido","VA"
144180,2024,"14","IFPE","2024-07-09 04:00:00.000",2024-07-09 04:00:00,0,"zero","N/A","VA","V","Válido","VA"
144181,2024,"14","IFPE","2024-07-09 05:00:00.000",2024-07-09 05:00:00,0,"zero","N/A","VA","V","Válido","VA"
144182,2024,"14","IFPE","2024-07-09 06:00:00.000",2024-07-09 06:00:00,0,"zero","N/A","VA","V","Válido","VA"
144183,2024,"14","IFPE","2024-07-09 07:00:00.000",2024-07-09 07:00:00,0,"zero","N/A","VA","V","Válido","VA"
144184,2024,"14","IFPE","2024-07-09 08:00:00.000",2024-07-09 08:00:00,0,"zero","N/A","VA","V","Válido","VA"
144185,2024,"14","IFPE","2024-07-09 09:00:00.000",2024-07-09 09:00:00,0,"zero","N/A","VA","V","Válido","VA"
144186,2024,"14","IFPE","2024-07-09 10:00:00.000",2024-07-09 10:00:00,0,"zero","N/A","VA","V","Válido","VA"
161376,2025,"12","IPOJUCA","2025-10-24 09:00:00.000",2025-10-24 09:00:00,-25.511,"negativa","CPRH","IN","V","Válido","VA"
164525,2025,"12","IPOJUCA","2025-12-15 17:00:00.000",2025-12-15 17:00:00,0,"zero","CPRH","VA","V","Válido","VA"
163536,2025,"12","IPOJUCA","2025-12-28 09:00:00.000",2025-12-28 09:00:00,-11846.61,"negativa","CPRH","IN","V","Válido","VA"
