estacao_historica,ano_alvo,data_local,papel_precipitacao,cod_precipitacao,nome_precipitacao,distancia_precipitacao_km,precip_diaria_bruta_mm,precip_valida_60,precip_valida_70,precip_valida_90,flag_borda_2025,precip_diaria_analitica_mm
CUPE,2021,2021-04-06,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-07,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-08,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-09,principal,260720801A,Centro,2.31199229299342,13.62,TRUE,TRUE,TRUE,FALSE,13.62
CUPE,2021,2021-04-10,principal,260720801A,Centro,2.31199229299342,90.3,TRUE,TRUE,TRUE,FALSE,90.3
CUPE,2021,2021-04-11,principal,260720801A,Centro,2.31199229299342,138.02,TRUE,TRUE,TRUE,FALSE,138.02
CUPE,2021,2021-04-12,principal,260720801A,Centro,2.31199229299342,0.2,TRUE,TRUE,TRUE,FALSE,0.2
CUPE,2021,2021-04-13,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-14,principal,260720801A,Centro,2.31199229299342,32.06,TRUE,TRUE,TRUE,FALSE,32.06
CUPE,2021,2021-04-15,principal,260720801A,Centro,2.31199229299342,49.21,TRUE,TRUE,TRUE,FALSE,49.21
CUPE,2021,2021-04-16,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-17,principal,260720801A,Centro,2.31199229299342,18.62,TRUE,TRUE,TRUE,FALSE,18.62
CUPE,2021,2021-04-18,principal,260720801A,Centro,2.31199229299342,17.94,TRUE,TRUE,TRUE,FALSE,17.94
CUPE,2021,2021-04-19,principal,260720801A,Centro,2.31199229299342,2.76,TRUE,TRUE,TRUE,FALSE,2.76
CUPE,2021,2021-04-20,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-21,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-22,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-23,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-24,principal,260720801A,Centro,2.31199229299342,4.95,TRUE,TRUE,TRUE,FALSE,4.95
CUPE,2021,2021-04-25,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-04-26,principal,260720801A,Centro,2.31199229299342,0.79,TRUE,TRUE,TRUE,FALSE,0.79
CUPE,2021,2021-04-27,principal,260720801A,Centro,2.31199229299342,14.56,TRUE,TRUE,TRUE,FALSE,14.56
CUPE,2021,2021-04-28,principal,260720801A,Centro,2.31199229299342,8.3,FALSE,FALSE,TRUE,FALSE,
CUPE,2021,2021-04-29,principal,260720801A,Centro,2.31199229299342,8.87,TRUE,TRUE,TRUE,FALSE,8.87
CUPE,2021,2021-04-30,principal,260720801A,Centro,2.31199229299342,6.89,TRUE,TRUE,TRUE,FALSE,6.89
CUPE,2021,2021-05-01,principal,260720801A,Centro,2.31199229299342,13.38,TRUE,TRUE,TRUE,FALSE,13.38
CUPE,2021,2021-05-02,principal,260720801A,Centro,2.31199229299342,7.18,TRUE,TRUE,TRUE,FALSE,7.18
CUPE,2021,2021-05-03,principal,260720801A,Centro,2.31199229299342,5.34,TRUE,TRUE,TRUE,FALSE,5.34
CUPE,2021,2021-05-04,principal,260720801A,Centro,2.31199229299342,22.66,FALSE,TRUE,TRUE,FALSE,
CUPE,2021,2021-05-05,principal,260720801A,Centro,2.31199229299342,28.19,TRUE,TRUE,TRUE,FALSE,28.19
CUPE,2021,2021-05-06,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-05-07,principal,260720801A,Centro,2.31199229299342,1.59,TRUE,TRUE,TRUE,FALSE,1.59
CUPE,2021,2021-05-08,principal,260720801A,Centro,2.31199229299342,5.91,TRUE,TRUE,TRUE,FALSE,5.91
CUPE,2021,2021-05-09,principal,260720801A,Centro,2.31199229299342,6.31,TRUE,TRUE,TRUE,FALSE,6.31
